"","Plot","Site.x","Survey.x","Dim.1","Dim.2","Site.y","bio1","bio2","bio7","Snw","FDD","GDD","Survey.y"
"1","A01","Los Cazadores","Spatial",2.5093043261367,-1.08818944855106,"Los Cazadores",5.51330296048038,4.62415514592934,25.6566820276498,114,12.5,1441.4880952381,"Spatial"
"2","A02","Los Cazadores","Spatial",2.46229437616235,-0.252625281416429,"Los Cazadores",5.66280372852953,3.89616324535679,24.758064516129,45,66.5,1531.25,"Spatial"
"3","A03","Los Cazadores","Spatial",-0.5144137735671,-0.194663320975616,"Los Cazadores",4.30708234417912,2.48012847367686,22.6774193548387,84,44.5833333333333,1055.5,"Spatial"
"4","A04","Los Cazadores","Spatial",-0.27300429690675,-0.956278959413378,"Los Cazadores",4.5008658008658,2.86978773914258,21.9285714285714,72,0,1082.78571428571,"Spatial"
"5","A05","Los Cazadores","Spatial",0.909889722577425,-0.856374134399877,"Los Cazadores",4.91823534888051,3.52863426895685,23.9216589861751,67,2.5,1205.84523809524,"Spatial"
"6","A06","Los Cazadores","Spatial",0.706332964818401,-1.0932392971785,"Los Cazadores",4.95380882558302,3.31996229576875,23.1958525345622,116,15.3333333333333,1265.45238095238,"Spatial"
"7","A07","Los Cazadores","Spatial",3.33377572397725,-0.92153659053756,"Los Cazadores",5.89138621235395,4.87648373132244,27.331797235023,104,19.3333333333333,1529.95238095238,"Spatial"
"8","A08","Los Cazadores","Spatial",1.07162008137632,-0.453791416550381,"Los Cazadores",4.90104617604618,3.50918866080156,25.0760368663594,118,39.5833333333333,1247.97619047619,"Spatial"
"9","A09","Los Cazadores","Spatial",0.270121704732468,-0.854993048962325,"Los Cazadores",4.77620211329889,2.92474514732579,22.794930875576,120,31.9166666666667,1236.28571428571,"Spatial"
"10","A10","Los Cazadores","Spatial",1.24317892107485,-1.13823844567842,"Los Cazadores",5.15079481450449,3.59929479123028,24.5576036866359,124,9.08333333333333,1309.02380952381,"Spatial"
"11","A11","Los Cazadores","Spatial",4.08412564568772,-0.762194744036481,"Los Cazadores",6.15912000186194,5.50291858678955,26.4539170506912,27,21.3333333333333,1612.16666666667,"Spatial"
"12","A12","Los Cazadores","Spatial",1.08450870563801,-1.10812035895394,"Los Cazadores",5.10975189684867,3.41392263650328,24.6244239631336,128,10.6666666666667,1294.63095238095,"Spatial"
"13","A13","Los Cazadores","Spatial",1.32910067351994,-0.567526958398896,"Los Cazadores",4.80473979425592,4.02225946096914,26.278801843318,112,9.5,1174.61904761905,"Spatial"
"14","A14","Los Cazadores","Spatial",2.25708327368824,-0.417335207182149,"Los Cazadores",5.08683319368803,4.54103128054741,28.2442396313364,96,5.41666666666667,1241.35714285714,"Spatial"
"15","A15","Los Cazadores","Spatial",0.432633566479899,-1.10107843082106,"Los Cazadores",4.53568286552157,3.55108225108225,26.1428571428571,216,0,1090.71428571429,"Spatial"
"16","A16","Los Cazadores","Spatial",1.49720648537627,-1.51518221706964,"Los Cazadores",5.54398361495136,3.54264069264069,22.5092165898618,84,7.25,1450.79761904762,"Spatial"
"17","A17","Los Cazadores","Spatial",1.61782300581956,-0.874374115644999,"Los Cazadores",5.13850951915468,4.08585393101522,24.2304147465438,95,19.6666666666667,1335.7380952381,"Spatial"
"18","A18","Los Cazadores","Spatial",0.465674255875436,-0.494928784533318,"Los Cazadores",4.66554601312666,3.24866987850859,23.0483870967742,87,36.75,1203.07142857143,"Spatial"
"19","A19","Los Cazadores","Spatial",-0.469971843176699,-1.02780170706856,"Los Cazadores",4.0898652422846,3.2042242703533,24.4285714285714,205,0,980.321428571429,"Spatial"
"20","A20","Los Cazadores","Spatial",-0.937389716291464,-0.177869886116558,"Los Cazadores",3.50576153237444,3.07676302192431,26.9285714285714,189,0,732.464285714286,"Spatial"
"21","B01","<U+1E24>ou Sin Tierri","Spatial",0.583877888751769,0.384183680753142,"Hou Sin Tierri",4.43503148841024,3.44715581044836,23.1129032258065,86,90.75,1220.86904761905,"Spatial"
"22","B02","<U+1E24>ou Sin Tierri","Spatial",-2.9723110223649,-1.20001010016575,"Hou Sin Tierri",3.34999610758788,1.76514621826079,17.758064516129,141,1.75,778.880952380952,"Spatial"
"23","B03","<U+1E24>ou Sin Tierri","Spatial",-1.67414288461329,-0.234943022133283,"Hou Sin Tierri",3.68823941785566,2.34808084018318,20.5,0,0,772.357142857143,"Spatial"
"24","B04","<U+1E24>ou Sin Tierri","Spatial",-1.43614767228175,-0.293408824741084,"Hou Sin Tierri",3.7171288605104,2.4072691398331,22.9285714285714,74,0,777.404761904762,"Spatial"
"25","B05","<U+1E24>ou Sin Tierri","Spatial",-1.65281788216715,-0.0486101828555379,"Hou Sin Tierri",3.66381920668628,2.19805567995223,22.073732718894,28,6.33333333333333,745.642857142857,"Spatial"
