Lifeform,Taxon,TPLName,family,order,class,clade,group,F,K,L,N,R,T
Phanerophyte,Acer campestre,Acer campestre,Sapindaceae,Sapindales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,5,6,6
Phanerophyte,Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,Sapindales,Magnoliopsida,Superrosids,Angiosperms,7,4,5,5,5,6
Hemicryptophyte,Achillea millefolium,Achillea millefolium,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,5,6,6
Hemicryptophyte,Achillea odorata,Achillea odorata,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,4,7,6
Hemicryptophyte,Achillea ptarmica subsp. pyrenaica,Achillea pyrenaica,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Achillea tomentosa,Achillea tomentosa,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Aconitum lycoctonum subsp. neapolitanum,Aconitum lamarckii,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,5,5,5,6,5
Hemicryptophyte,Aconitum napellus subsp. lusitanicum,Aconitum napellus,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,8,5,6,6,6,5
Hemicryptophyte,Aconitum napellus subsp. vulgare,Aconitum napellus,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,8,5,6,6,6,5
Geophyte,Actaea spicata,Actaea spicata,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,5,5,5,6,5
Phanerophyte,Adenocarpus complicatus,Adenocarpus complicatus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,4,4,6
Phanerophyte,Adenocarpus lainzii,Adenocarpus lainzii,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,4,4,6
Hemicryptophyte,Adenostyles alpina subsp. pyrenaica,Adenostyles alpina,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Adiantum capillus-veneris,Adiantum capillus-veneris,Pteridaceae,Polypodiales,Polypodiopsida,Pteridophytes,Pteridophytes,7,4,6,4,7,6
Hemicryptophyte,Adonis pyrenaica,Adonis pyrenaica,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Adonis vernalis,Adonis vernalis,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Aegilops geniculata,Aegilops geniculata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,5,8,4,7,7
Therophyte,Aegilops triuncialis,Aegilops triuncialis,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Aegilops ventricosa,Aegilops ventricosa,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Aethionema saxatile subsp. ovalifolium,Aethionema saxatile,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,7,5
Chamaephyte,Aethionema thomasianum,Aethionema thomasianum,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,7,4
Therophyte,Aethusa cynapium,Aethusa cynapium,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Agrimonia eupatoria,Agrimonia eupatoria,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,5,7,5,6,6
Hemicryptophyte,Agrimonia procera,Agrimonia procera,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Agrostemma githago,Agrostemma githago,Caryophyllaceae,Caryophyllales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,6,6
Hemicryptophyte,Agrostis canina,Agrostis canina,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,4,7,3,4,5
Hemicryptophyte,Agrostis capillaris,Agrostis capillaris,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,7,4,5,5
Hemicryptophyte,Agrostis castellana,Agrostis castellana,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,4,7,4,5,6
Hemicryptophyte,Agrostis curtisii,Agrostis curtisii,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,7,3,4,6
Hemicryptophyte,Agrostis gigantea,Agrostis gigantea,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,4,7,6,6,6
Hemicryptophyte,Agrostis hesperica,Agrostis hesperica,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,8,4,7,3,4,5
Hemicryptophyte,Agrostis rupestris,Agrostis rupestris,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,8,2,4,3
Hemicryptophyte,Agrostis schleicheri,Agrostis schleicheri,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,3,7,4
Hemicryptophyte,Agrostis stolonifera,Agrostis stolonifera,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,8,4,7,5,6,6
Hemicryptophyte,Agrostis tileni,Agrostis tilenii,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,6,8,3,4,4
Therophyte,Aira caryophyllea,Aira caryophyllea,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,8,4,5,6
Therophyte,Aira cupaniana,Aira cupaniana,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Aira praecox,Aira praecox,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,5,8,3,4,7
Therophyte,Ajuga chamaepitys,Ajuga chamaepitys,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,4,4,5
Hemicryptophyte,Ajuga reptans,Ajuga reptans,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,5,6
Hemicryptophyte,Alchemilla alpigena,Alchemilla alpigena,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla alpina,Alchemilla alpina,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,6,3
Hemicryptophyte,Alchemilla angustiserrata,Alchemilla angustiserrata,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla borderei,Alchemilla borderei,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla burgensis,Alchemilla burgensis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla catalaunica,Alchemilla catalaunica,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla colorata,Alchemilla colorata,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla connivens,Alchemilla connivens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,4,5,5
Hemicryptophyte,Alchemilla coriacea,Alchemilla coriacea,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,8,4,7,4,5,5
Hemicryptophyte,Alchemilla effusa,Alchemilla effusa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla fallax,Alchemilla fallax,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla filicaulis,Alchemilla filicaulis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla fissa,Alchemilla fissa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,8,5,7,4,6,4
Hemicryptophyte,Alchemilla fulgens,Alchemilla fulgens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,4,7,4,5,5
Hemicryptophyte,Alchemilla fulgida,Alchemilla fulgida,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,5,4
Hemicryptophyte,Alchemilla glabra,Alchemilla glabra,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla glaucescens,Alchemilla glaucescens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla hispanica,Alchemilla hispanica,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,6,5
Hemicryptophyte,Alchemilla hoppeana,Alchemilla hoppeana,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla hybrida,Alchemilla hybrida,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla impedicellata,Alchemilla impedicellata,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla inconcinna,Alchemilla inconcinna,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
