"Plot","Cell","Taxon","Present"
"UR2-08",70,"Alchemilla catalaunica",1
"HR2-19",12,"Alchemilla catalaunica",1
"UR1-19",85,"Alchemilla catalaunica",1
"UR1-19",49,"Alchemilla catalaunica",1
"UR1-08",36,"Alchemilla catalaunica",1
"HR1-19",91,"Alchemilla catalaunica",1
"HR2-19",29,"Alchemilla catalaunica",1
"UR1-19",11,"Alchemilla catalaunica",1
"UR1-08",77,"Alchemilla catalaunica",1
"HR2-19",14,"Alchemilla catalaunica",1
"UR2-19",17,"Alchemilla catalaunica",1
"UR2-19",75,"Alchemilla catalaunica",1
"UR1-08",75,"Alchemilla catalaunica",1
"UR1-08",68,"Alchemilla catalaunica",1
"UR1-08",46,"Alchemilla catalaunica",1
"UR1-19",98,"Alchemilla catalaunica",1
"UR1-19",50,"Alchemilla catalaunica",1
"UR2-19",61,"Alchemilla catalaunica",1
"UR1-08",100,"Alchemilla catalaunica",1
"UR1-19",7,"Alchemilla catalaunica",1
"UR2-19",97,"Alchemilla catalaunica",1
"UR2-19",16,"Alchemilla catalaunica",1
"UR2-19",32,"Alchemilla catalaunica",1
"HR2-09",12,"Alchemilla catalaunica",1
"HR1-19",64,"Alchemilla catalaunica",1
"UR1-08",54,"Alchemilla catalaunica",1
"UR2-19",26,"Alchemilla catalaunica",1
"UR2-08",48,"Alchemilla catalaunica",1
"UR1-19",68,"Alchemilla catalaunica",1
"HR1-09",92,"Alchemilla catalaunica",1
"UR1-19",27,"Alchemilla catalaunica",1
"HR1-19",84,"Alchemilla catalaunica",1
"HR1-19",94,"Alchemilla catalaunica",1
"UR2-19",48,"Alchemilla catalaunica",1
"UR2-08",91,"Alchemilla catalaunica",1
"UR1-08",65,"Alchemilla catalaunica",1
"UR2-08",77,"Alchemilla catalaunica",1
"UR2-19",46,"Alchemilla catalaunica",1
"UR1-19",9,"Alchemilla catalaunica",1
"HR2-19",96,"Alchemilla catalaunica",1
"HR1-19",65,"Alchemilla catalaunica",1
"UR1-08",81,"Alchemilla catalaunica",1
"UR2-19",65,"Alchemilla catalaunica",1
"UR1-08",37,"Alchemilla catalaunica",1
"UR2-08",89,"Alchemilla catalaunica",1
"UR2-08",28,"Alchemilla catalaunica",1
"UR2-19",5,"Alchemilla catalaunica",1
"HR1-19",26,"Alchemilla catalaunica",1
"UR2-08",100,"Alchemilla catalaunica",1
"UR2-08",80,"Alchemilla catalaunica",1
"UR1-19",51,"Alchemilla catalaunica",1
"UR1-19",76,"Alchemilla catalaunica",1
"UR1-08",12,"Alchemilla catalaunica",1
"UR2-08",52,"Alchemilla catalaunica",1
"UR1-19",96,"Alchemilla catalaunica",1
"UR1-19",15,"Alchemilla catalaunica",1
"UR1-08",33,"Alchemilla catalaunica",1
"UR2-19",37,"Alchemilla catalaunica",1
"UR1-19",60,"Alchemilla catalaunica",1
"UR1-19",39,"Alchemilla catalaunica",1
"UR2-08",18,"Alchemilla catalaunica",1
"UR2-19",83,"Alchemilla catalaunica",1
"UR2-19",87,"Alchemilla catalaunica",1
"UR2-19",51,"Alchemilla catalaunica",1
"UR1-19",52,"Alchemilla catalaunica",1
"UR1-19",42,"Alchemilla catalaunica",1
"UR1-08",62,"Alchemilla catalaunica",1
"HR1-09",86,"Alchemilla catalaunica",1
"UR1-19",16,"Alchemilla catalaunica",1
"UR1-08",25,"Alchemilla catalaunica",1
"HR1-19",76,"Alchemilla catalaunica",1
"UR1-19",25,"Alchemilla catalaunica",1
"UR1-08",56,"Alchemilla catalaunica",1
"UR1-08",90,"Alchemilla catalaunica",1
"UR2-08",57,"Alchemilla catalaunica",1
"UR2-19",66,"Alchemilla catalaunica",1
"UR1-19",56,"Alchemilla catalaunica",1
"UR2-19",41,"Alchemilla catalaunica",1
"UR1-19",91,"Alchemilla catalaunica",1
"UR1-19",67,"Alchemilla catalaunica",1
"UR2-19",82,"Alchemilla catalaunica",1
"UR1-08",76,"Alchemilla catalaunica",1
"UR2-19",33,"Alchemilla catalaunica",1
"UR2-19",77,"Alchemilla catalaunica",1
"UR2-08",71,"Alchemilla catalaunica",1
"UR2-08",62,"Alchemilla catalaunica",1
"UR1-08",21,"Alchemilla catalaunica",1
"UR1-19",58,"Alchemilla catalaunica",1
"UR2-08",26,"Alchemilla catalaunica",1
"UR1-19",90,"Alchemilla catalaunica",1
"UR2-08",75,"Alchemilla catalaunica",1
"UR1-19",17,"Alchemilla catalaunica",1
"UR2-19",62,"Alchemilla catalaunica",1
"UR1-08",85,"Alchemilla catalaunica",1
"HR2-09",85,"Alchemilla catalaunica",1
"UR1-19",22,"Alchemilla catalaunica",1
"HR1-19",99,"Alchemilla catalaunica",1
"UR1-19",55,"Alchemilla catalaunica",1
"UR1-19",87,"Alchemilla catalaunica",1
"HR1-19",52,"Alchemilla catalaunica",1
"UR2-19",73,"Alchemilla catalaunica",1
"UR1-19",26,"Alchemilla catalaunica",1
"UR1-19",88,"Alchemilla catalaunica",1
"UR2-08",99,"Alchemilla catalaunica",1
"UR1-08",67,"Alchemilla catalaunica",1
"UR1-08",72,"Alchemilla catalaunica",1
"UR1-08",41,"Alchemilla catalaunica",1
"UR1-19",82,"Alchemilla catalaunica",1
"UR2-19",96,"Alchemilla catalaunica",1
"UR2-19",23,"Alchemilla catalaunica",1
"UR1-08",73,"Alchemilla catalaunica",1
"UR2-19",74,"Alchemilla catalaunica",1
"UR1-19",83,"Alchemilla catalaunica",1
"UR2-08",86,"Alchemilla catalaunica",1
"UR2-08",37,"Alchemilla catalaunica",1
"UR2-08",94,"Alchemilla catalaunica",1
"HR1-19",66,"Alchemilla catalaunica",1
"UR1-08",43,"Alchemilla catalaunica",1
"HR1-19",37,"Alchemilla catalaunica",1
"HR1-19",95,"Alchemilla catalaunica",1
"UR2-08",41,"Alchemilla catalaunica",1
"UR1-19",10,"Alchemilla catalaunica",1
"UR2-19",91,"Alchemilla catalaunica",1
"HR2-09",2,"Alchemilla catalaunica",1
"UR2-08",79,"Alchemilla catalaunica",1
"UR2-19",99,"Alchemilla catalaunica",1
"HR2-19",83,"Alchemilla catalaunica",1
"HR2-19",97,"Alchemilla catalaunica",1
"UR1-08",78,"Alchemilla catalaunica",1
"UR2-08",64,"Alchemilla catalaunica",1
"UR1-19",43,"Alchemilla catalaunica",1
"UR1-19",53,"Alchemilla catalaunica",1
"UR1-19",77,"Alchemilla catalaunica",1
"UR1-19",63,"Alchemilla catalaunica",1
"UR2-08",55,"Alchemilla catalaunica",1
"HR1-19",57,"Alchemilla catalaunica",1
"UR1-19",80,"Alchemilla catalaunica",1
"UR1-19",14,"Alchemilla catalaunica",1
"UR1-19",100,"Alchemilla catalaunica",1
"UR2-08",83,"Alchemilla catalaunica",1
"UR2-08",74,"Alchemilla catalaunica",1
"HR1-09",95,"Alchemilla catalaunica",1
"UR2-08",98,"Alchemilla catalaunica",1
"UR1-08",24,"Alchemilla catalaunica",1
"UR1-19",81,"Alchemilla catalaunica",1
"UR2-19",81,"Alchemilla catalaunica",1
"UR1-19",34,"Alchemilla catalaunica",1
"UR2-08",93,"Alchemilla catalaunica",1
"UR1-08",64,"Alchemilla catalaunica",1
"UR2-08",38,"Alchemilla catalaunica",1
"UR1-08",35,"Alchemilla catalaunica",1
"HR1-19",54,"Alchemilla catalaunica",1
"UR1-08",16,"Alchemilla catalaunica",1
"HR1-19",96,"Alchemilla catalaunica",1
"UR2-19",9,"Alchemilla catalaunica",1
"UR2-19",71,"Alchemilla catalaunica",1
"UR1-19",79,"Alchemilla catalaunica",1
"UR2-19",47,"Alchemilla catalaunica",1
"UR1-08",91,"Alchemilla catalaunica",1
"HR2-19",24,"Alchemilla catalaunica",1
"UR1-19",97,"Alchemilla catalaunica",1
"UR1-08",92,"Alchemilla catalaunica",1
"HR1-19",77,"Alchemilla catalaunica",1
"UR2-08",78,"Alchemilla catalaunica",1
"UR1-19",37,"Alchemilla catalaunica",1
"UR2-08",42,"Alchemilla catalaunica",1
"UR2-19",55,"Alchemilla catalaunica",1
"UR2-19",93,"Alchemilla catalaunica",1
"HR1-19",58,"Alchemilla catalaunica",1
"HR2-09",97,"Alchemilla catalaunica",1
"HR1-19",20,"Alchemilla catalaunica",1
"UR1-19",13,"Alchemilla catalaunica",1
"UR2-08",82,"Alchemilla catalaunica",1
"UR2-19",72,"Alchemilla catalaunica",1
"UR1-08",87,"Alchemilla catalaunica",1
"UR2-08",97,"Alchemilla catalaunica",1
"UR1-08",32,"Alchemilla catalaunica",1
"UR2-19",57,"Alchemilla catalaunica",1
"UR2-08",65,"Alchemilla catalaunica",1
"UR2-19",80,"Alchemilla catalaunica",1
"HR1-19",75,"Alchemilla catalaunica",1
"HR1-09",74,"Alchemilla catalaunica",1
"UR1-19",92,"Alchemilla catalaunica",1
"UR1-08",63,"Alchemilla catalaunica",1
"UR2-08",66,"Alchemilla catalaunica",1
"UR1-19",48,"Alchemilla catalaunica",1
"HR1-19",53,"Alchemilla catalaunica",1
"UR2-19",88,"Alchemilla catalaunica",1
"UR1-08",98,"Alchemilla catalaunica",1
"UR2-19",15,"Alchemilla catalaunica",1
"UR2-08",87,"Alchemilla catalaunica",1
"UR2-19",31,"Alchemilla catalaunica",1
"UR1-19",8,"Alchemilla catalaunica",1
"UR1-08",82,"Alchemilla catalaunica",1
"UR1-19",73,"Alchemilla catalaunica",1
"UR1-19",47,"Alchemilla catalaunica",1
"UR2-19",19,"Alchemilla catalaunica",1
"UR1-19",38,"Alchemilla catalaunica",1
"HR1-19",30,"Alchemilla catalaunica",1
"UR1-19",28,"Alchemilla catalaunica",1
"UR2-19",76,"Alchemilla catalaunica",1
"UR2-19",98,"Alchemilla catalaunica",1
"HR2-19",93,"Alchemilla catalaunica",1
"UR2-08",46,"Alchemilla catalaunica",1
"UR1-08",28,"Alchemilla catalaunica",1
"HR2-19",13,"Alchemilla catalaunica",1
"UR2-08",96,"Alchemilla catalaunica",1
"UR2-08",76,"Alchemilla catalaunica",1
"UR1-08",23,"Alchemilla catalaunica",1
"UR1-19",40,"Alchemilla catalaunica",1
"HR2-19",85,"Alchemilla catalaunica",1
"HR1-09",93,"Alchemilla catalaunica",1
"HR1-09",19,"Alchemilla catalaunica",1
"UR1-19",93,"Alchemilla catalaunica",1
"UR2-19",86,"Alchemilla catalaunica",1
"UR1-08",51,"Alchemilla catalaunica",1
"UR1-19",35,"Alchemilla catalaunica",1
"UR1-08",52,"Alchemilla catalaunica",1
"UR2-08",47,"Alchemilla catalaunica",1
"UR2-08",17,"Alchemilla catalaunica",1
"HR1-19",92,"Alchemilla catalaunica",1
"UR1-19",57,"Alchemilla catalaunica",1
"UR2-19",92,"Alchemilla catalaunica",1
"UR2-19",27,"Alchemilla catalaunica",1
"HR1-19",40,"Alchemilla catalaunica",1
"UR2-08",92,"Alchemilla catalaunica",1
"UR1-19",24,"Alchemilla catalaunica",1
"HR2-19",86,"Alchemilla catalaunica",1
"UR2-19",8,"Alchemilla catalaunica",1
"HR2-09",84,"Alchemilla catalaunica",1
"HR1-09",76,"Alchemilla catalaunica",1
"UR1-19",74,"Alchemilla catalaunica",1
"HR1-19",86,"Alchemilla catalaunica",1
"UR1-19",31,"Alchemilla catalaunica",1
"HR1-09",94,"Alchemilla catalaunica",1
"UR1-08",53,"Alchemilla catalaunica",1
"HR1-19",85,"Alchemilla catalaunica",1
"HR1-09",65,"Alchemilla catalaunica",1
"UR1-08",57,"Alchemilla catalaunica",1
"UR2-19",25,"Alchemilla catalaunica",1
"UR2-08",95,"Alchemilla catalaunica",1
"UR1-08",47,"Alchemilla catalaunica",1
"HR1-19",10,"Alchemilla catalaunica",1
"UR2-08",51,"Alchemilla catalaunica",1
"UR2-08",9,"Alchemilla catalaunica",1
"HR1-09",54,"Alchemilla catalaunica",1
"UR2-19",36,"Alchemilla catalaunica",1
