"Plot","Taxon","Cover"
"UR1-08","Alchemilla catalaunica",60
"HR1-09","Alchemilla catalaunica",3
"UR2-08","Alchemilla catalaunica",40
"HR2-09","Alchemilla catalaunica",2
"HA2-09","Androsace villosa",1
"HI1-09","Androsace villosa",0.1
"EC2-08","Androsace villosa",0.5
"HI2-09","Androsace villosa",0.01
"HA1-09","Androsace villosa",0.2
"LC2-09","Androsace villosa",0.2
"EC1-08","Androsace villosa",1
"LC1-09","Androsace villosa",10
"HI2-09","Anthyllis vulneraria",20
"HA2-09","Anthyllis vulneraria",1
"EC1-08","Anthyllis vulneraria",0.5
"UR2-08","Anthyllis vulneraria",15
"HA1-09","Anthyllis vulneraria",2
"LB1-09","Anthyllis vulneraria",10
"HI1-09","Anthyllis vulneraria",0.5
"HR1-09","Anthyllis vulneraria",0.1
"UR1-08","Anthyllis vulneraria",4
"LB2-09","Anthyllis vulneraria",10
"LC1-09","Anthyllis vulneraria",0.5
"LC2-09","Anthyllis vulneraria",0.1
"HA2-09","Arenaria erinacea",0.5
"HA1-09","Arenaria erinacea",0.1
"LB2-09","Arenaria moehringioides",0.1
"LB1-09","Arenaria moehringioides",0.01
"UR1-08","Arenaria purpurascens",0.1
"HR2-09","Arenaria purpurascens",1
"UR1-08","Arenaria serpyllifolia",0.1
"UR2-08","Arenaria serpyllifolia",0.5
"HR1-09","Armeria cantabrica",0.5
"HR2-09","Armeria cantabrica",15
"LB1-09","Armeria cantabrica",0.5
"EC2-08","Aster alpinus",0.5
"EC1-08","Aster alpinus",2
"HR1-09","Botrychium lunaria",0.1
"HR2-09","Botrychium lunaria",0.1
"EC1-08","Bromopsis erecta",2
"EC2-08","Bromopsis erecta",0.5
"HR1-09","Carex capillaris",25
"HR2-09","Carex capillaris",10
"EC1-08","Carex humilis",85
"EC2-08","Carex humilis",45
"LB1-09","Carex ornithopoda",0.1
"HR2-09","Carex parviflora",25
"HR1-09","Carex parviflora",2
"UR2-08","Carex sempervirens",80
"UR1-08","Carex sempervirens",80
"EC2-08","Carex sempervirens",0.5
"HI1-09","Carex sempervirens",0.01
"LC2-09","Carex sempervirens",0.25
"LC1-09","Carex sempervirens",15
"HR2-09","Dethawia splendens subsp. cantabrica",0.1
"EC2-08","Dethawia splendens subsp. cantabrica",4
"HR1-09","Dethawia splendens subsp. cantabrica",0.1
"LC1-09","Dethawia splendens subsp. cantabrica",0.01
"EC1-08","Dethawia splendens subsp. cantabrica",2
"HR1-09","Draba dedeana",0.1
"CB1-08","Draba dedeana",0.1
"HR2-09","Draba dedeana",0.1
"HI1-09","Kobresia myosuroides",0.5
"LB2-09","Erigeron alpinus",0.01
"EC2-08","Eryngium bourgatii",0.5
"EC1-08","Eryngium bourgatii",1
"CB2-08","Euphorbia pyrenaica",0.5
"CB2-08","Euphrasia salisburgensis",0.5
"LC1-09","Euphrasia salisburgensis",0.01
"LC2-09","Euphrasia salisburgensis",0.01
"HA2-09","Festuca burnatii",0.1
"LC2-09","Festuca burnatii",0.01
"CB2-08","Festuca glacialis",0.1
"HR2-09","Festuca glacialis",0.1
"HA2-09","Festuca hystrix",25
"HA1-09","Festuca hystrix",40
"UR1-08","Festuca gr. rubra",10
"UR2-08","Festuca gr. rubra",10
"EC1-08","Festuca gr. rubra",20
"LC1-09","Festuca gr. rubra",0.1
"EC2-08","Festuca gr. rubra",0.01
"CB1-08","Galium pyrenaicum",1
"CB2-08","Galium pyrenaicum",5
"HI2-09","Galium pyrenaicum",0.01
"HI1-09","Galium pyrenaicum",0.01
"LC2-09","Genista legionensis",0.1
"EC2-08","Gentiana verna",0.01
"EC1-08","Gentiana verna",0.05
"HR1-09","Gentiana verna",0.1
"HR2-09","Gentiana verna",0.1
"UR2-08","Gentianella campestris",0.01
"UR1-08","Gentianella campestris",0.05
"LC2-09","Gypsophila repens",0.01
"HI1-09","Gypsophila repens",0.5
"HI2-09","Gypsophila repens",10
"EC2-08","Helianthemum apenninum subsp. cantabricum",1
"EC1-08","Helianthemum canum",10
"HI1-09","Helianthemum canum",0.7
"LB2-09","Helianthemum canum",0.1
