"Plot","Site","Latitude","Longitude","Precision","Elevation","Date","Area"
"A01","Los Cazadores",43.2058519,-4.829633021,0.47,2109.76,"25/09/2018",1
"A02","Los Cazadores",43.20593166,-4.82966224,0.68,2104.83,"25/09/2018",1
"A03","Los Cazadores",43.20601424,-4.829655847,0.67,2102.9,"25/09/2018",1
"A04","Los Cazadores",43.20609703,-4.829647859,0.91,2094.61,"25/09/2018",1
"A05","Los Cazadores",43.2061891,-4.829611221,0.73,2095.23,"25/09/2018",1
"A06","Los Cazadores",43.20568031,-4.82965928,0.77,2008.54,"25/09/2018",1
"A07","Los Cazadores",43.20559495,-4.829658944,0.67,2110.3,"25/09/2018",1
"A08","Los Cazadores",43.20549275,-4.829658719,0.73,2104.71,"25/09/2018",1
"A09","Los Cazadores",43.20540962,-4.829649094,0.78,2110.66,"25/09/2018",1
"A10","Los Cazadores",43.2053294,-4.829659375,1.1,2111.53,"25/09/2018",1
"A11","Los Cazadores",43.20575954,-4.829575114,2.1,2107.66,"25/09/2018",1
"A12","Los Cazadores",43.20574793,-4.829445273,2,2103.8,"25/09/2018",1
"A13","Los Cazadores",43.20573645,-4.829341163,0.71,2100.28,"25/09/2018",1
"A14","Los Cazadores",43.20572485,-4.829244434,0.66,2096,"25/09/2018",1
"A15","Los Cazadores",43.2057038,-4.829141638,0.86,2091.06,"25/09/2018",1
"A16","Los Cazadores",43.20579253,-4.829775758,1.2,2116.98,"25/09/2018",1
"A17","Los Cazadores",43.2057913,-4.829886382,1.3,2119.71,"25/09/2018",1
"A18","Los Cazadores",43.2058293,-4.830004333,1.7,2121.44,"25/09/2018",1
"A19","Los Cazadores",43.20584306,-4.83012353,1.9,2123.31,"25/09/2018",1
"A20","Los Cazadores",43.2058524,-4.830293924,2.1,2118.63,"25/09/2018",1
"B01","Hou Sin Tierri",43.19472865,-4.828481649,1.7,1978.41,"26/09/2018",1
"B02","Hou Sin Tierri",43.19481277,-4.828479977,0.53,1976.83,"26/09/2018",1
"B03","Hou Sin Tierri",43.19491235,-4.828497843,0.63,1973.24,"26/09/2018",1
"B04","Hou Sin Tierri",43.19498256,-4.828510155,0.63,1971.2,"26/09/2018",1
"B05","Hou Sin Tierri",43.1950739,-4.828525313,0.68,1965.09,"26/09/2018",1
"B06","Hou Sin Tierri",43.19455237,-4.828473923,0.64,1980.92,"26/09/2018",1
"B07","Hou Sin Tierri",43.19446902,-4.828449527,1.3,1980.37,"26/09/2018",1
"B08","Hou Sin Tierri",43.19436808,-4.828460789,0.84,1980.14,"26/09/2018",1
"B09","Hou Sin Tierri",43.19428605,-4.828477907,0.83,1978.91,"26/09/2018",1
"B10","Hou Sin Tierri",43.19418887,-4.828490634,0.98,1976.87,"26/09/2018",1
"B11","Hou Sin Tierri",43.19465392,-4.828357208,0.66,1981.23,"26/09/2018",1
"B12","Hou Sin Tierri",43.19465703,-4.82824703,0.79,1979.15,"26/09/2018",1
"B13","Hou Sin Tierri",43.19468045,-4.828127981,0.66,1976.54,"26/09/2018",1
"B14","Hou Sin Tierri",43.19470408,-4.828001801,0.74,1975.45,"26/09/2018",1
"B15","Hou Sin Tierri",43.19474452,-4.827899506,0.61,1975.36,"26/09/2018",1
"B16","Hou Sin Tierri",43.19463551,-4.828596277,0.79,1972.08,"26/09/2018",1
"B17","Hou Sin Tierri",43.19463361,-4.828715106,1.7,1976.95,"26/09/2018",1
"B18","Hou Sin Tierri",43.19464028,-4.828832961,0.79,1973,"26/09/2018",1
"B19","Hou Sin Tierri",43.19464801,-4.82894654,0.87,1971.62,"26/09/2018",1
"B20","Hou Sin Tierri",43.19463137,-4.829069237,1.1,1969.28,"26/09/2018",1
"C01","Los Boches",43.18444304,-4.829741018,1.1,2127.23,"26/09/2018",1
"C02","Los Boches",43.18453651,-4.829741018,0.71,2125.73,"26/09/2018",1
"C03","Los Boches",43.18458081,-4.829741018,0.71,2122.52,"26/09/2018",1
"C04","Los Boches",43.18467474,-4.82974001,0.7,2120.52,"26/09/2018",1
"C05","Los Boches",43.18474862,-4.829742709,0.7,2117.41,"26/09/2018",1
"C06","Los Boches",43.1842299,-4.829718967,0.7,2129.89,"26/09/2018",1
"C07","Los Boches",43.1841433,-4.829705798,0.69,2131.17,"26/09/2018",1
"C08","Los Boches",43.18404641,-4.829689368,1.2,2130.76,"26/09/2018",1
"C09","Los Boches",43.1839677,-4.829672866,0.2,2131.4,"26/09/2018",1
"C10","Los Boches",43.18387427,-4.829653832,0.67,2132.36,"26/09/2018",1
"C11","Los Boches",43.18433787,-4.829611325,0.68,2129.37,"26/09/2018",1
"C12","Los Boches",43.18435735,-4.829496855,0.68,2129.32,"26/09/2018",1
"C13","Los Boches",43.1843683,-4.82937524,1.3,2127.29,"26/09/2018",1
"C14","Los Boches",43.18437139,-4.829254989,0.68,2127.07,"26/09/2018",1
"C15","Los Boches",43.18438982,-4.829122153,0.68,2129.07,"26/09/2018",1
"C16","Los Boches",43.18432197,-4.829856704,0.68,2125.29,"26/09/2018",1
"C17","Los Boches",43.18432114,-4.829976037,0.68,2123.68,"26/09/2018",1
"C18","Los Boches",43.18434133,-4.830081725,0.84,2121.68,"26/09/2018",1
"C19","Los Boches",43.18433453,-4.830197435,0.68,2113.53,"26/09/2018",1
"C20","Los Boches",43.18431821,-4.830310769,0.67,2114.32,"26/09/2018",1
"D01","Hoyo Sin Tierra",43.16862736,-4.826431341,1.3,1911.84,"01/10/2018",1
"D02","Hoyo Sin Tierra",43.16870997,-4.826429129,1.2,1941.38,"01/10/2018",1
"D03","Hoyo Sin Tierra",43.16878122,-4.826432975,1.2,1935.8,"01/10/2018",1
"D04","Hoyo Sin Tierra",43.16887702,-4.826422052,1.2,1933.83,"01/10/2018",1
"D05","Hoyo Sin Tierra",43.16896774,-4.82647544,0.96,1932.22,"01/10/2018",1
"D06","Hoyo Sin Tierra",43.16845877,-4.826415983,1.1,1940.74,"01/10/2018",1
"D07","Hoyo Sin Tierra",43.16837494,-4.826387897,1.1,1941.73,"01/10/2018",1
"D08","Hoyo Sin Tierra",43.16828523,-4.826366893,1.1,1945.16,"01/10/2018",1
"D09","Hoyo Sin Tierra",43.16819457,-4.826348814,1.1,1947.13,"01/10/2018",1
"D10","Hoyo Sin Tierra",43.16811289,-4.826332479,1.6,1959.03,"01/10/2018",1
"D11","Hoyo Sin Tierra",43.16855062,-4.82632006,0.82,1940.41,"01/10/2018",1
"D12","Hoyo Sin Tierra",43.16856244,-4.826205759,0.82,1935.76,"01/10/2018",1
"D13","Hoyo Sin Tierra",43.16858225,-4.826092558,0.81,1931.35,"01/10/2018",1
"D14","Hoyo Sin Tierra",43.16860003,-4.825994427,0.63,1929.53,"01/10/2018",1
"D15","Hoyo Sin Tierra",43.16861287,-4.825866624,0.63,1927.77,"01/10/2018",1
"D16","Hoyo Sin Tierra",43.16856507,-4.826604909,0.66,1938.73,"01/10/2018",1
"D17","Hoyo Sin Tierra",43.16858018,-4.826656658,0.67,1939.45,"01/10/2018",1
