"Site","Plot","bio1","bio2","bio7","Snw","FDD","GDD","Survey"
"Hou Sin Tierri","B01",4.43503148841024,3.44715581044836,23.1129032258065,86,90.75,1220.86904761905,"Spatial"
"Hou Sin Tierri","B02",3.34999610758788,1.76514621826079,17.758064516129,141,1.75,778.880952380952,"Spatial"
"Hou Sin Tierri","B03",3.68823941785566,2.34808084018318,20.5,0,0,772.357142857143,"Spatial"
"Hou Sin Tierri","B04",3.7171288605104,2.4072691398331,22.9285714285714,74,0,777.404761904762,"Spatial"
"Hou Sin Tierri","B05",3.66381920668628,2.19805567995223,22.073732718894,28,6.33333333333333,745.642857142857,"Spatial"
"Hou Sin Tierri","B06",5.15217487524217,4.90902024375328,27.0322580645161,88,69.3333333333333,1395.92857142857,"Spatial"
"Hou Sin Tierri","B07",4.88441973765945,4.40564901357449,25.6451612903226,104,58.5,1293.39285714286,"Spatial"
"Hou Sin Tierri","B08",4.38654942881862,3.84127578020793,24.4516129032258,9,52.5,1084.95238095238,"Spatial"
"Hou Sin Tierri","B09",4.09027304267849,4.11344170290221,26.5806451612903,130,59.9166666666667,1038.27380952381,"Spatial"
"Hou Sin Tierri","B10",4.27475891121609,2.75380388984393,23.4032258064516,8,21.8333333333333,982.607142857143,"Spatial"
"Hou Sin Tierri","B11",5.31868761105413,4.45060035441014,25.4838709677419,84,64.5833333333333,1448.0119047619,"Spatial"
"Hou Sin Tierri","B12",4.4102940255888,2.89813717983907,23.426267281106,17,54.6666666666667,1079.79761904762,"Spatial"
"Hou Sin Tierri","B13",4.47884325537273,2.89981220114702,22.8548387096774,0,49.8333333333333,1096.5,"Spatial"
"Hou Sin Tierri","B14",3.75804248587897,2.17386393732334,20.9838709677419,220,0,877.880952380952,"Spatial"
"Hou Sin Tierri","B15",5.30604931003985,4.94554387029359,26.1290322580645,80,38.8333333333333,1399.80952380952,"Spatial"
"Hou Sin Tierri","B16",3.65937521568779,3.33452176299785,26.3387096774194,119,100.333333333333,939.309523809524,"Spatial"
"Hou Sin Tierri","B17",3.11586442848957,2.36652027986844,20.3064516129032,49,0,633.916666666667,"Spatial"
"Hou Sin Tierri","B18",2.57493218374753,1.59140579479845,18.0207373271889,168,10.9166666666667,521.595238095238,"Spatial"
"Hou Sin Tierri","B19",2.99172525348832,3.23665713226336,27.7327188940092,141,124.833333333333,736.892857142857,"Spatial"
"Hou Sin Tierri","B20",3.35896111520416,2.6705087182006,23.5645161290323,38,72.75,769.333333333333,"Spatial"
"Hoyo Sin Tierra","D01",6.01616539822185,4.0477307638598,23.9700460829493,11,45.9166666666667,1599.38333333333,"Spatial"
"Hoyo Sin Tierra","D02",5.69892036726714,3.54789833822092,20.7258064516129,79,3.66666666666667,1486.2380952381,"Spatial"
"Hoyo Sin Tierra","D03",4.60520993343574,2.92194875017456,21.6820276497696,105,36.5,1164,"Spatial"
"Hoyo Sin Tierra","D04",4.92861826793278,3.22582390727552,22.5460829493088,43,17.5,1209.75,"Spatial"
"Hoyo Sin Tierra","D05",4.90844010380301,3.23527091188381,21.1751152073733,104,13.1666666666667,1234.0119047619,"Spatial"
"Hoyo Sin Tierra","D06",5.34385502490341,4.56817483591677,27.905529953917,34,36.4166666666667,1301.25,"Spatial"
"Hoyo Sin Tierra","D07",4.73274187729833,3.79384687892752,27.7741935483871,147,51.8333333333333,1177.55952380952,"Spatial"
"Hoyo Sin Tierra","D08",4.36702159847321,2.90858294930876,23.5322580645161,130,43.5833333333333,1068.15476190476,"Spatial"
"Hoyo Sin Tierra","D09",4.20963872596937,3.06851696690406,23.8709677419355,96,18.5833333333333,985.75,"Spatial"
"Hoyo Sin Tierra","D10",3.659707384909,2.14609691383885,19.3387096774194,44,17.1666666666667,819.583333333333,"Spatial"
"Hoyo Sin Tierra","D11",5.8801747311828,5.2776794442117,26.6635944700461,101,2.58333333333333,1497.16666666667,"Spatial"
"Hoyo Sin Tierra","D12",4.30060512963739,2.25118000279291,21.2857142857143,65,0,962.261904761905,"Spatial"
"Hoyo Sin Tierra","D13",3.59004939952521,2.76705941907555,23.9285714285714,234,0,774.583333333333,"Spatial"
"Hoyo Sin Tierra","D14",3.9231127519434,2.8162320206675,25.5714285714286,226,0,845.083333333333,"Spatial"
