"Plot","Site","Latitude","Longitude","ED5030TX","ED5030TY","Precision","Elevation","Date"
"A01","Los Cazadores",43.2058519,-4.829633021,351467.66,4785509.56,0.47,2109.76,"25/09/2018"
"A02","Los Cazadores",43.20593166,-4.82966224,351465.48,4785518.47,0.68,2104.83,"25/09/2018"
"A03","Los Cazadores",43.20601424,-4.829655847,351466.2,4785527.63,0.67,2102.9,"25/09/2018"
"A04","Los Cazadores",43.20609703,-4.829647859,351467.05,4785536.81,0.91,2094.61,"25/09/2018"
"A05","Los Cazadores",43.2061891,-4.829611221,351470.25,4785546.97,0.73,2095.23,"25/09/2018"
"A06","Los Cazadores",43.20568031,-4.82965928,351465.11,4785490.55,0.77,2008.54,"25/09/2018"
"A07","Los Cazadores",43.20559495,-4.829658944,351464.93,4785481.07,0.67,2110.3,"25/09/2018"
"A08","Los Cazadores",43.20549275,-4.829658719,351464.7,4785469.72,0.73,2104.71,"25/09/2018"
"A09","Los Cazadores",43.20540962,-4.829649094,351465.28,4785460.47,0.78,2110.66,"25/09/2018"
"A10","Los Cazadores",43.2053294,-4.829659375,351464.25,4785451.58,1.1,2111.53,"25/09/2018"
"A11","Los Cazadores",43.20575954,-4.829575114,351472.14,4785499.2,2.1,2107.66,"25/09/2018"
"A12","Los Cazadores",43.20574793,-4.829445273,351482.66,4785497.68,2,2103.8,"25/09/2018"
"A13","Los Cazadores",43.20573645,-4.829341163,351491.09,4785496.22,0.71,2100.28,"25/09/2018"
"A14","Los Cazadores",43.20572485,-4.829244434,351498.92,4785494.76,0.66,2096,"25/09/2018"
"A15","Los Cazadores",43.2057038,-4.829141638,351507.22,4785492.24,0.86,2091.06,"25/09/2018"
"A16","Los Cazadores",43.20579253,-4.829775758,351455.92,4785503.22,1.2,2116.98,"25/09/2018"
"A17","Los Cazadores",43.2057913,-4.829886382,351446.93,4785503.28,1.3,2119.71,"25/09/2018"
"A18","Los Cazadores",43.2058293,-4.830004333,351437.44,4785507.71,1.7,2121.44,"25/09/2018"
"A19","Los Cazadores",43.20584306,-4.83012353,351427.79,4785509.45,1.9,2123.31,"25/09/2018"
"A20","Los Cazadores",43.2058524,-4.830293924,351413.97,4785510.79,2.1,2118.63,"25/09/2018"
"B01","Hou Sin Tierri",43.19472865,-4.828481649,351534.2,4784272.2,1.7,1978.41,"26/09/2018"
"B02","Hou Sin Tierri",43.19481277,-4.828479977,351534.54,4784281.54,0.53,1976.83,"26/09/2018"
"B03","Hou Sin Tierri",43.19491235,-4.828497843,351533.33,4784290.63,0.63,1973.24,"26/09/2018"
"B04","Hou Sin Tierri",43.19498256,-4.828510155,351532.5,4784300.45,0.63,1971.2,"26/09/2018"
"B05","Hou Sin Tierri",43.1950739,-4.828525313,351531.49,4784310.62,0.68,1965.09,"26/09/2018"
"B06","Hou Sin Tierri",43.19455237,-4.828473923,351534.4,4784252.61,0.64,1980.92,"26/09/2018"
"B07","Hou Sin Tierri",43.19446902,-4.828449527,351536.18,4784243.31,1.3,1980.37,"26/09/2018"
"B08","Hou Sin Tierri",43.19436808,-4.828460789,351535.02,4784232.12,0.84,1980.14,"26/09/2018"
"B09","Hou Sin Tierri",43.19428605,-4.828477907,351533.43,4784223.04,0.83,1978.91,"26/09/2018"
"B10","Hou Sin Tierri",43.19418887,-4.828490634,351532.16,4784212.27,0.98,1976.87,"26/09/2018"
"B11","Hou Sin Tierri",43.19465392,-4.828357208,351544.13,4784263.68,0.66,1981.23,"26/09/2018"
"B12","Hou Sin Tierri",43.19465703,-4.82824703,351553.09,4784263.83,0.79,1979.15,"26/09/2018"
"B13","Hou Sin Tierri",43.19468045,-4.828127981,351562.82,4784266.22,0.66,1976.54,"26/09/2018"
"B14","Hou Sin Tierri",43.19470408,-4.828001801,351573.13,4784268.62,0.74,1975.45,"26/09/2018"
"B15","Hou Sin Tierri",43.19474452,-4.827899506,351581.54,4784272.93,0.61,1975.36,"26/09/2018"
"B16","Hou Sin Tierri",43.19463551,-4.828596277,351524.66,4784262.06,0.79,1972.08,"26/09/2018"
"B17","Hou Sin Tierri",43.19463361,-4.828715106,351515,4784262.06,1.7,1976.95,"26/09/2018"
"B18","Hou Sin Tierri",43.19464028,-4.828832961,351505.44,4784263.01,0.79,1973,"26/09/2018"
"B19","Hou Sin Tierri",43.19464801,-4.82894654,351496.23,4784264.07,0.87,1971.62,"26/09/2018"
"B20","Hou Sin Tierri",43.19463137,-4.829069237,351486.22,4784262.44,1.1,1969.28,"26/09/2018"
