"Taxon","SLA"
"Alchemilla catalaunica",94.8030047
"Alyssum montanum",26.0309191
"Androsace villosa",40.5902439
"Anemone pavoniana",241.1110116
"Anthyllis vulneraria",132.51951025
"Arabis alpina",170.3827362
"Arenaria grandiflora",20.45189873
"Arenaria serpyllifolia",148.3736842
"Armeria cantabrica",113.5022222
"Berberis vulgaris",177.509761
"Biscutella laevigata",152.1779492
"Bistorta vivipara",126.3730994
"Brachypodium rupestre",73.56914567
"Bromopsis erecta",235.25
"Bupleurum ranunculoides",108.3107595
"Carex asturica",142.2583596
"Carex brevicollis",154.3902078
"Carex caryophyllea",150.0378995
"Carex humilis",109.8639692
"Carex ornithopoda",227.4545455
"Carthamus mitissimus",106.4795
"Clinopodium alpinum",139.8484488
"Colchicum montanum",84.66974063
"Daphne laureola",68.50208597
"Erigeron uniflorus",144.7604027
"Erythronium dens-canis",182.7054176
"Euphorbia flavicoma",171.3432261
"Euphorbia pyrenaica",150.1549618
"Festuca gr. rubra",95.74262295
"Festuca hystrix",28.32171582
"Genista hispanica",65.94642857
"Genista legionensis",94.90909091
"Gentiana occidentalis",86.78573466
"Glandora diffusa",167.7771812
"Globularia nudicaulis",59.87388958
"Globularia repens",11.348378
"Helianthemum apenninum subsp. cantabricum",79.888319495
"Helianthemum apenninum subsp. urrielense",44.22193309
"Helianthemum canum",110.476311905
"Helianthemum nummularium",246.7769231
"Helictochloa pratensis",83.51954397
"Helictotrichon cantabricum",50.95058866
"Helictotrichon sedenense",60.988228545
"Hepatica nobilis",166.9794931
"Hieracium mixtum",141.9206549
"Hippocrepis comosa",96.58527296
"Juniperus communis",27.15664914
"Klasea pinnatifida",162.2153846
"Koeleria splendens",114.1852632
"Koeleria vallesiana",44.04795565
"Leontodon hispidus",192.7819277
"Linum appressum",28.61448276
"Linum narbonense",43.20412496
"Luzula campestris",107.5703422
"Nardus stricta",79.28055556
"Pedicularis pyrenaica",166.55945305
"Phleum phleoides",247.7822086
"Phyteuma spicatum",97.61118421
"Pilosella officinarum",133.3017613
"Pimpinella saxifraga",109.9616246
"Plantago alpina",59.1134715
"Plantago lanceolata",177.0152381
"Plantago media",136.189528
"Polygala edmundi",101.0673367
"Potentilla crantzii",140.3814208
"Prunella vulgaris",187.9246862
"Ranunculus gramineus",116.1658163
"Sagina saginoides",85.84545455
"Saxifraga conifera",180.6357143
"Saxifraga oppositifolia",59.22162162
"Sedum acre",127.8195122
"Sedum atratum",76.082416245
"Seseli montanum",81.046016375
"Sesleria caerulea",142.8218978
"Silene ciliata",131.5243343
"Silene vulgaris",64.43587786
"Teucrium chamaedrys",114.2414783
"Teucrium pyrenaicum",163.20931695
"Thymus praecox subsp. ligusticus",159.9394231
"Trifolium pratense",233.0127273
"Trifolium repens",208.3888099
"Vaccinium myrtillus",193.2
