"Plot","Site","Latitude","Longitude","ED5030TX","ED5030TY","Precision","Elevation","Date"
"LB1-09","Los Boches",43.18432249,-4.829721297,351406.656,4783118.758,2,2139.3481,"16/07/2009"
"LB1-19","Los Boches",43.18432249,-4.829721297,351406.656,4783118.758,2,2139.3481,"10/08/2019"
"LB2-09","Los Boches",43.18432249,-4.829721297,351406.656,4783118.758,2,2139.3481,"16/07/2009"
"LB2-19","Los Boches",43.18432249,-4.829721297,351406.656,4783118.758,2,2139.3481,"10/08/2019"
"HA1-09","Hoyo Sin Tierra",43.16856023,-4.826422027,351638.4301,4781360.799,2,1950,"09/07/2009"
"HA1-19","Hoyo Sin Tierra",43.16856023,-4.826422027,351638.4301,4781360.799,2,1950,"09/08/2019"
"HA2-09","Hoyo Sin Tierra",43.16856023,-4.826422027,351638.4301,4781360.799,2,1950,"09/07/2009"
"HA2-19","Hoyo Sin Tierra",43.16856023,-4.826422027,351638.4301,4781360.799,2,1950,"09/08/2019"
"LC1-09","Los Cazadores",43.20576861,-4.829666357,351465.8317,4785499.777,2,2130.0518,"30/07/2009"
"LC1-19","Los Cazadores",43.20576861,-4.829666357,351465.8317,4785499.777,2,2130.0518,"11/08/2019"
"LC2-09","Los Cazadores",43.20576861,-4.829666357,351465.8317,4785499.777,2,2130.0518,"30/07/2009"
"LC2-19","Los Cazadores",43.20576861,-4.829666357,351465.8317,4785499.777,2,2130.0518,"11/08/2019"
"HI1-09","Hou Sin Tierri",43.19465017,-4.828482068,351534.7887,4784263.368,2,1990,"15/07/2009"
"HI1-19","Hou Sin Tierri",43.19465017,-4.828482068,351534.7887,4784263.368,2,1990,"10/08/2019"
"HI2-09","Hou Sin Tierri",43.19465017,-4.828482068,351534.7887,4784263.368,2,1990,"15/07/2009"
"HI2-19","Hou Sin Tierri",43.19465017,-4.828482068,351534.7887,4784263.368,2,1990,"10/08/2019"
