"Plot","Cell","Row","Column","Taxon","Present"
"HA1-09",1,1,1,"Festuca hystrix",1
"HA1-09",1,1,1,"Koeleria vallesiana",1
"HA1-09",2,1,2,"Festuca hystrix",1
"HA1-09",3,1,3,"Festuca hystrix",1
"HA1-09",3,1,3,"Helianthemum canum",1
"HA1-09",3,1,3,"Thymus praecox subsp. ligusticus",1
"HA1-09",4,1,4,"Festuca hystrix",1
"HA1-09",4,1,4,"Helianthemum canum",1
"HA1-09",4,1,4,"Thymus praecox subsp. ligusticus",1
"HA1-09",5,1,5,"Festuca hystrix",1
"HA1-09",5,1,5,"Helianthemum canum",1
"HA1-09",5,1,5,"Koeleria vallesiana",1
"HA1-09",6,1,6,"Festuca hystrix",1
"HA1-09",7,1,7,"Festuca hystrix",1
"HA1-09",7,1,7,"Minuartia verna",1
"HA1-09",8,1,8,"Festuca hystrix",1
"HA1-09",9,1,9,"Festuca hystrix",1
"HA1-09",10,1,10,"Festuca hystrix",1
"HA1-09",10,1,10,"Helianthemum canum",1
"HA1-09",11,2,1,"Festuca hystrix",1
"HA1-09",12,2,2,"Festuca hystrix",1
"HA1-09",12,2,2,"Thymus praecox subsp. ligusticus",1
"HA1-09",13,2,3,"Festuca hystrix",1
"HA1-09",13,2,3,"Helianthemum canum",1
"HA1-09",13,2,3,"Thymus praecox subsp. ligusticus",1
"HA1-09",14,2,4,"Festuca hystrix",1
"HA1-09",14,2,4,"Helianthemum canum",1
"HA1-09",14,2,4,"Thymus praecox subsp. ligusticus",1
"HA1-09",15,2,5,"Festuca hystrix",1
"HA1-09",15,2,5,"Koeleria vallesiana",1
"HA1-09",16,2,6,"Festuca hystrix",1
"HA1-09",16,2,6,"Koeleria vallesiana",1
"HA1-09",17,2,7,"Festuca hystrix",1
"HA1-09",18,2,8,"Festuca hystrix",1
"HA1-09",18,2,8,"Helianthemum canum",1
"HA1-09",19,2,9,"Festuca hystrix",1
"HA1-09",20,2,10,"Festuca hystrix",1
"HA1-09",20,2,10,"Thymus praecox subsp. ligusticus",1
"HA1-09",21,3,1,"Festuca hystrix",1
"HA1-09",21,3,1,"Helianthemum canum",1
"HA1-09",22,3,2,"Festuca hystrix",1
"HA1-09",22,3,2,"Helianthemum canum",1
"HA1-09",23,3,3,"Festuca hystrix",1
"HA1-09",23,3,3,"Helianthemum canum",1
"HA1-09",24,3,4,"Festuca hystrix",1
"HA1-09",24,3,4,"Helianthemum canum",1
"HA1-09",25,3,5,"Festuca hystrix",1
"HA1-09",26,3,6,"Festuca hystrix",1
"HA1-09",27,3,7,"Festuca hystrix",1
"HA1-09",28,3,8,"Festuca hystrix",1
"HA1-09",29,3,9,"Anthyllis vulneraria",1
"HA1-09",29,3,9,"Festuca hystrix",1
"HA1-09",30,3,10,"Festuca hystrix",1
"HA1-09",30,3,10,"Koeleria vallesiana",1
"HA1-09",31,4,1,"Festuca hystrix",1
"HA1-09",31,4,1,"Helianthemum canum",1
"HA1-09",31,4,1,"Minuartia verna",1
"HA1-09",32,4,2,"Festuca hystrix",1
"HA1-09",32,4,2,"Helianthemum canum",1
"HA1-09",33,4,3,"Festuca hystrix",1
"HA1-09",33,4,3,"Helianthemum canum",1
"HA1-09",34,4,4,"Festuca hystrix",1
"HA1-09",34,4,4,"Helianthemum canum",1
"HA1-09",35,4,5,"Festuca hystrix",1
"HA1-09",36,4,6,"Festuca hystrix",1
"HA1-09",37,4,7,"Festuca hystrix",1
"HA1-09",38,4,8,"Anthyllis vulneraria",1
"HA1-09",38,4,8,"Festuca hystrix",1
"HA1-09",38,4,8,"Thymus praecox subsp. ligusticus",1
"HA1-09",39,4,9,"Anthyllis vulneraria",1
"HA1-09",39,4,9,"Festuca hystrix",1
"HA1-09",40,4,10,"Festuca hystrix",1
"HA1-09",40,4,10,"Helianthemum canum",1
"HA1-09",40,4,10,"Koeleria vallesiana",1
"HA1-09",41,5,1,"Festuca hystrix",1
"HA1-09",42,5,2,"Festuca hystrix",1
"HA1-09",42,5,2,"Helianthemum canum",1
"HA1-09",43,5,3,"Anthyllis vulneraria",1
"HA1-09",43,5,3,"Festuca hystrix",1
"HA1-09",43,5,3,"Helianthemum canum",1
"HA1-09",44,5,4,"Anthyllis vulneraria",1
"HA1-09",44,5,4,"Festuca hystrix",1
"HA1-09",45,5,5,"Festuca hystrix",1
"HA1-09",45,5,5,"Helianthemum canum",1
"HA1-09",46,5,6,"Festuca hystrix",1
"HA1-09",47,5,7,"Androsace villosa",1
"HA1-09",47,5,7,"Festuca hystrix",1
"HA1-09",47,5,7,"Helianthemum canum",1
"HA1-09",48,5,8,"Androsace villosa",1
"HA1-09",48,5,8,"Festuca hystrix",1
"HA1-09",48,5,8,"Thymus praecox subsp. ligusticus",1
"HA1-09",49,5,9,"Thymus praecox subsp. ligusticus",1
"HA1-09",50,5,10,"Festuca hystrix",1
"HA1-09",50,5,10,"Koeleria vallesiana",1
"HA1-09",51,6,1,"Androsace villosa",1
"HA1-09",51,6,1,"Festuca hystrix",1
"HA1-09",52,6,2,"Festuca hystrix",1
"HA1-09",52,6,2,"Helianthemum canum",1
"HA1-09",52,6,2,"Thymus praecox subsp. ligusticus",1
"HA1-09",53,6,3,"Festuca hystrix",1
"HA1-09",53,6,3,"Helianthemum canum",1
"HA1-09",53,6,3,"Thymus praecox subsp. ligusticus",1
"HA1-09",54,6,4,"Festuca hystrix",1
"HA1-09",55,6,5,"Androsace villosa",1
"HA1-09",55,6,5,"Arenaria erinacea",1
"HA1-09",55,6,5,"Festuca hystrix",1
"HA1-09",56,6,6,"Festuca hystrix",1
"HA1-09",57,6,7,"Androsace villosa",1
"HA1-09",57,6,7,"Festuca hystrix",1
"HA1-09",58,6,8,"Koeleria vallesiana",1
"HA1-09",58,6,8,"Thymus praecox subsp. ligusticus",1
"HA1-09",59,6,9,"Androsace villosa",1
"HA1-09",59,6,9,"Festuca hystrix",1
"HA1-09",59,6,9,"Helianthemum canum",1
"HA1-09",59,6,9,"Koeleria vallesiana",1
"HA1-09",59,6,9,"Thymus praecox subsp. ligusticus",1
"HA1-09",60,6,10,"Androsace villosa",1
"HA1-09",60,6,10,"Festuca hystrix",1
"HA1-09",60,6,10,"Helianthemum canum",1
"HA1-09",60,6,10,"Koeleria vallesiana",1
"HA1-09",61,7,1,"Festuca hystrix",1
"HA1-09",62,7,2,"Festuca hystrix",1
"HA1-09",62,7,2,"Thymus praecox subsp. ligusticus",1
"HA1-09",63,7,3,"Festuca hystrix",1
"HA1-09",63,7,3,"Helianthemum canum",1
"HA1-09",63,7,3,"Thymus praecox subsp. ligusticus",1
"HA1-09",64,7,4,"Festuca hystrix",1
"HA1-09",65,7,5,"Anthyllis vulneraria",1
"HA1-09",65,7,5,"Arenaria erinacea",1
"HA1-09",65,7,5,"Festuca hystrix",1
"HA1-09",65,7,5,"Helianthemum canum",1
"HA1-09",67,7,7,"Festuca hystrix",1
"HA1-09",68,7,8,"Koeleria vallesiana",1
"HA1-09",68,7,8,"Thymus praecox subsp. ligusticus",1
"HA1-09",69,7,9,"Androsace villosa",1
"HA1-09",69,7,9,"Festuca hystrix",1
"HA1-09",69,7,9,"Koeleria vallesiana",1
"HA1-09",70,7,10,"Festuca hystrix",1
"HA1-09",70,7,10,"Helianthemum canum",1
"HA1-09",70,7,10,"Koeleria vallesiana",1
"HA1-09",70,7,10,"Minuartia verna",1
"HA1-09",70,7,10,"Thymus praecox subsp. ligusticus",1
"HA1-09",71,8,1,"Festuca hystrix",1
"HA1-09",71,8,1,"Helianthemum canum",1
"HA1-09",72,8,2,"Festuca hystrix",1
"HA1-09",72,8,2,"Helianthemum canum",1
"HA1-09",73,8,3,"Festuca hystrix",1
"HA1-09",74,8,4,"Festuca hystrix",1
"HA1-09",74,8,4,"Helianthemum canum",1
"HA1-09",75,8,5,"Arenaria erinacea",1
"HA1-09",75,8,5,"Festuca hystrix",1
"HA1-09",76,8,6,"Festuca hystrix",1
"HA1-09",76,8,6,"Koeleria vallesiana",1
"HA1-09",76,8,6,"Minuartia verna",1
"HA1-09",77,8,7,"Festuca hystrix",1
"HA1-09",77,8,7,"Minuartia verna",1
"HA1-09",78,8,8,"Festuca hystrix",1
"HA1-09",78,8,8,"Koeleria vallesiana",1
"HA1-09",78,8,8,"Thymus praecox subsp. ligusticus",1
"HA1-09",79,8,9,"Festuca hystrix",1
"HA1-09",79,8,9,"Thymus praecox subsp. ligusticus",1
"HA1-09",80,8,10,"Festuca hystrix",1
"HA1-09",80,8,10,"Helianthemum canum",1
"HA1-09",81,9,1,"Festuca hystrix",1
"HA1-09",81,9,1,"Helianthemum canum",1
"HA1-09",82,9,2,"Festuca hystrix",1
"HA1-09",82,9,2,"Helianthemum canum",1
"HA1-09",83,9,3,"Festuca hystrix",1
