"Plot","Taxon","Cover"
"HA2-09","Agrostis schleicheri",0.1
"LC2-09","Agrostis schleicheri",1
"HA2-09","Androsace villosa",1
"HI1-09","Androsace villosa",1
"HI2-09","Androsace villosa",0.01
"HA1-09","Androsace villosa",0.2
"LC2-09","Androsace villosa",20
"LC1-09","Androsace villosa",10
"HI2-09","Anthyllis vulneraria",20
"HA2-09","Anthyllis vulneraria",1
"HA1-09","Anthyllis vulneraria",2
"LB1-09","Anthyllis vulneraria",10
"HI1-09","Anthyllis vulneraria",5
"LB2-09","Anthyllis vulneraria",10
"LC1-09","Anthyllis vulneraria",0.5
"LC2-09","Anthyllis vulneraria",10
"HA2-09","Arenaria erinacea",0.5
"HA1-09","Arenaria erinacea",0.1
"LB2-09","Arenaria moehringioides",0.1
"LB1-09","Arenaria moehringioides",0.01
"LB1-09","Armeria cantabrica",0.5
"LB1-09","Carex ornithopoda",0.1
"HI1-09","Carex sempervirens",0.1
"LC2-09","Carex sempervirens",25
"LC1-09","Carex sempervirens",15
"LC1-09","Dethawia splendens subsp. cantabrica",0.01
"HI1-09","Kobresia myosuroides",5
"LB2-09","Erigeron alpinus",0.01
"LC1-09","Euphrasia salisburgensis",0.01
"LC2-09","Euphrasia salisburgensis",1
"HA2-09","Festuca hystrix",25
"HA1-09","Festuca hystrix",40
"LC1-09","Festuca gr. rubra",0.1
"HI2-09","Galium pyrenaicum",0.01
"HI1-09","Galium pyrenaicum",0.1
"LC2-09","Genista legionensis",10
"LC2-09","Gypsophila repens",1
"HI1-09","Gypsophila repens",5
"HI2-09","Gypsophila repens",10
"HI1-09","Helianthemum canum",7
"LB2-09","Helianthemum canum",0.1
"LC2-09","Helianthemum canum",20
"HA2-09","Helianthemum canum",10
"LC1-09","Helianthemum canum",15
"HI2-09","Helianthemum canum",20
"HA1-09","Helianthemum canum",5
"LB1-09","Helianthemum canum",0.5
"LC2-09","Helianthemum apenninum subsp. urrielense",1
"LB1-09","Helianthemum apenninum subsp. urrielense",15
