"","Site","Species","2009","2019","Dif"
"1","Cabaña Verónica","Potentilla nivalis subsp. nivalis",42,0,-42
"2","Cabaña Verónica","Myosotis alpestris",15,0,-15
"3","Cabaña Verónica","Epilobium anagallidifolium",12,0,-12
"4","Cabaña Verónica","Rhinanthus minor",8,0,-8
"5","Cabaña Verónica","Juniperus communis",4,0,-4
"6","Cabaña Verónica","Saxifraga fragilis",4,0,-4
"7","Cabaña Verónica","Stellaria holostea",3,0,-3
"8","Cabaña Verónica","Trifolium pratense",2,0,-2
"9","Cabaña Verónica","Festuca hystrix",0,2,2
"10","Cabaña Verónica","Jurinea humilis",0,5,5
"11","Cabaña Verónica","Iberis carnosa",0,10,10
"12","Cabaña Verónica","Festuca burnatii",0,29,29
"13","Cabaña Verónica","Euphrasia hirtella",0,37,37
"14","Cabaña Verónica","Genista legionensis",13,58,45
"15","Cabaña Verónica","Herniaria glabra",49,96,47
"16","El Cable","Helianthemum apenninum subsp. cantabricum",92,1,-91
"17","El Cable","Linaria supina",81,0,-81
"18","El Cable","Jasione cavanillesii",62,0,-62
"19","El Cable","Galium pumilum",59,0,-59
"20","El Cable","Pilosella officinarum",49,0,-49
"21","El Cable","Veronica aphylla",47,0,-47
"22","El Cable","Hornungia alpina",68,28,-40
"23","El Cable","Koeleria splendens",29,0,-29
"24","El Cable","Matthiola perennis",23,0,-23
"25","El Cable","Carex capillaris",22,0,-22
"26","El Cable","Biscutella valentina",51,30,-21
"27","El Cable","Minuartia verna",21,0,-21
"28","El Cable","Carex ornithopoda",185,167,-18
"29","El Cable","Trifolium pratense",14,0,-14
"30","El Cable","Gentiana nivalis",13,0,-13
"31","El Cable","Erigeron uniflorus",12,0,-12
"32","El Cable","Bistorta vivipara",11,0,-11
"33","El Cable","Pimpinella siifolia",10,0,-10
"34","El Cable","Anthyllis vulneraria",45,36,-9
"35","El Cable","Globularia repens",9,0,-9
"36","El Cable","Euphorbia pyrenaica",7,0,-7
"37","El Cable","Galium mollugo",14,7,-7
"38","El Cable","Silene acaulis",6,0,-6
"39","El Cable","Saxifraga conifera",5,0,-5
"40","El Cable","Knautia nevadensis",4,0,-4
"41","El Cable","Sedum acre",4,0,-4
"42","El Cable","Gnaphalium hoppeanum",2,1,-1
"43","El Cable","Oreochloa confusa",1,0,-1
"44","El Cable","Rhinanthus angustifolius",1,0,-1
"45","El Cable","Arabis alpina",3,3,0
"46","El Cable","Rhamnus alpina",0,1,1
"47","El Cable","Cruciata glabra",0,2,2
"48","El Cable","Pinguicula grandiflora",0,2,2
"49","El Cable","Potentilla crantzii",0,2,2
"50","El Cable","Euphrasia minima",5,9,4
"51","El Cable","Trifolium thalii",0,4,4
"52","El Cable","Myosotis alpestris",0,5,5
"53","El Cable","Colchicum montanum",0,9,9
"54","El Cable","Festuca hystrix",0,14,14
"55","El Cable","Draba dedeana",20,35,15
"56","El Cable","Juniperus communis",52,73,21
"57","El Cable","Oxytropis halleri",11,33,22
"58","El Cable","Campanula arvatica",79,102,23
"59","El Cable","Silene ciliata",0,29,29
"60","El Cable","Veronica nummularia",0,33,33
"61","El Cable","Koeleria vallesiana",0,34,34
"62","El Cable","Campanula rotundifolia",15,55,40
"63","El Cable","Herniaria glabra",0,45,45
"64","El Cable","Linum appressum",0,64,64
"65","El Cable","Poa alpina",0,67,67
"66","El Cable","Helictotrichon sedenense",14,102,88
"67","Garganta","Dethawia splendens subsp. cantabrica",136,23,-113
"68","Garganta","Arabis alpina",127,53,-74
"69","Garganta","Teucrium pyrenaicum",74,2,-72
"70","Garganta","Lotus corniculatus",113,59,-54
"71","Garganta","Anthyllis vulneraria",108,66,-42
"72","Garganta","Galium pyrenaicum",20,0,-20
"73","Garganta","Koeleria vallesiana",21,6,-15
"74","Garganta","Festuca rivas-martinezii",35,22,-13
"75","Garganta","Jurinea humilis",11,0,-11
"76","Garganta","Erigeron alpinus",3,0,-3
"77","Garganta","Seseli montanum",1,0,-1
"78","Garganta","Helianthemum nummularium",0,1,1
"79","Garganta","Myosotis alpestris",0,1,1
"80","Garganta","Festuca gr. rubra",0,2,2
"81","Garganta","Herniaria glabra",0,2,2
"82","Garganta","Arenaria serpyllifolia",0,3,3
"83","Garganta","Oxytropis halleri",1,5,4
"84","Garganta","Galium mollugo",0,6,6
"85","Garganta","Gentianella campestris",0,19,19
"86","Garganta","Viola pyrenaica",23,69,46
"87","Garganta","Pilosella officinarum",105,178,73
"88","Garganta","Sempervivum vicentei",11,95,84
"89","Garganta","Scilla verna",10,101,91
"90","Horcados Rojos","Teucrium pyrenaicum",100,0,-100
"91","Horcados Rojos","Carex ornithopoda",167,69,-98
"92","Horcados Rojos","Festuca rivas-martinezii",84,0,-84
"93","Horcados Rojos","Kobresia myosuroides",93,16,-77
"94","Horcados Rojos","Oxytropis halleri",84,32,-52
"95","Horcados Rojos","Armeria cantabrica",36,0,-36
"96","Horcados Rojos","Campanula rotundifolia",34,1,-33
"97","Horcados Rojos","Hippocrepis comosa",120,90,-30
"98","Horcados Rojos","Potentilla nivalis subsp. asturica",87,58,-29
"99","Horcados Rojos","Sedum atratum",24,0,-24
"100","Horcados Rojos","Arabis alpina",23,3,-20
"101","Horcados Rojos","Alyssum montanum",45,28,-17
"102","Horcados Rojos","Thymus praecox subsp. ligusticus",18,4,-14
"103","Horcados Rojos","Gnaphalium hoppeanum",20,9,-11
"104","Horcados Rojos","Erigeron alpinus",13,7,-6
"105","Horcados Rojos","Epilobium anagallidifolium",0,4,4
"106","Horcados Rojos","Scilla verna",2,6,4
"107","Horcados Rojos","Erodium glandulosum",11,16,5
"108","Horcados Rojos","Galium mollugo",4,18,14
"109","Horcados Rojos","Rhamnus alpina",31,52,21
"110","Horcados Rojos","Astragalus depressus",9,46,37
"111","Horcados Rojos","Festuca gr. rubra",0,41,41
"112","Horcados Rojos","Vicia pyrenaica",64,112,48
"113","Horcados Rojos","Festuca burnatii",0,67,67
"114","Horcados Rojos","Arenaria serpyllifolia",14,93,79
"115","Horcados Rojos","Thesium pyrenaicum",0,93,93
"116","Horcados Rojos","Conopodium pyrenaeum",45,147,102
"117","Hoyo Sin Tierra","Festuca picoeuropeana",189,91,-98
"118","Hoyo Sin Tierra","Hippocrepis comosa",5,0,-5
"119","Hoyo Sin Tierra","Arenaria serpyllifolia",1,0,-1
"120","Hoyo Sin Tierra","Trifolium alpinum",0,6,6
"121","Hoyo Sin Tierra","Festuca gr. rubra",0,7,7
"122","Hoyo Sin Tierra","Sideritis hyssopifolia",0,7,7
"123","Hoyo Sin Tierra","Koeleria vallesiana",0,10,10
"124","Hoyo Sin Tierra","Taraxacum sp.",0,10,10
"125","Hoyo Sin Tierra","Oxytropis halleri",12,23,11
"126","Hoyo Sin Tierra","Vicia pyrenaica",48,62,14
"127","Hoyo Sin Tierra","Arabis alpina",6,25,19
"128","Hoyo Sin Tierra","Arenaria grandiflora",3,37,34
"129","Hoyo Sin Tierra","Anthyllis vulneraria",10,51,41
"130","Hoyo Sin Tierra","Lotus corniculatus",50,105,55
"131","Hoyo Sin Tierra","Pilosella officinarum",82,149,67
"132","Jou Sin Tierre","Arabis alpina",39,0,-39
"133","Jou Sin Tierre","Iberis carnosa",28,0,-28
"134","Jou Sin Tierre","Stellaria holostea",28,0,-28
"135","Jou Sin Tierre","Hippocrepis comosa",73,49,-24
"136","Jou Sin Tierre","Luzula pediformis",15,0,-15
"137","Jou Sin Tierre","Eryngium bourgatii",11,0,-11
"138","Jou Sin Tierre","Dethawia splendens subsp. cantabrica",9,0,-9
"139","Jou Sin Tierre","Helianthemum apenninum subsp. cantabricum",9,0,-9
"140","Jou Sin Tierre","Viola pyrenaica",9,0,-9
"141","Jou Sin Tierre","Polygala edmundi",4,0,-4
"142","Jou Sin Tierre","Gentianella campestris",3,0,-3
"143","Jou Sin Tierre","Leontodon saxatilis",3,0,-3
"144","Jou Sin Tierre","Koeleria splendens",2,0,-2
"145","Jou Sin Tierre","Festuca glacialis",1,0,-1
"146","Jou Sin Tierre","Paronychia kapela subsp. serpyllifolia",1,0,-1
"147","Jou Sin Tierre","Trifolium thalii",1,0,-1
"148","Jou Sin Tierre","Oxytropis halleri",0,2,2
"149","Jou Sin Tierre","Silene ciliata",0,2,2
"150","Jou Sin Tierre","Gentiana verna",0,4,4
"151","Jou Sin Tierre","Thesium pyrenaicum",0,4,4
"152","Jou Sin Tierre","Poa alpina",0,7,7
"153","Jou Sin Tierre","Androsace villosa",0,11,11
"154","Jou Sin Tierre","Rhinanthus minor",0,22,22
"155","Jou Sin Tierre","Vicia pyrenaica",0,23,23
"156","Jou Sin Tierre","Helianthemum nummularium",0,34,34
"157","Jou Sin Tierre","Anthyllis vulneraria",31,127,96
"158","Jou Sin Tierre","Lotus corniculatus",0,105,105
"159","Jou Sin Tierre","Pilosella officinarum",0,162,162
"160","Los Boches","Veronica nummularia",107,0,-107
"161","Los Boches","Herniaria glabra",90,15,-75
"162","Los Boches","Arabis alpina",175,122,-53
"163","Los Boches","Saxifraga oppositifolia",38,0,-38
"164","Los Boches","Pilosella officinarum",124,93,-31
"165","Los Boches","Potentilla crantzii",21,0,-21
"166","Los Boches","Carex pulicaris",18,0,-18
"167","Los Boches","Rhinanthus angustifolius",17,0,-17
"168","Los Boches","Astragalus depressus",15,0,-15
"169","Los Boches","Teucrium pyrenaicum",18,11,-7
"170","Los Boches","Globularia repens",5,0,-5
"171","Los Boches","Bistorta vivipara",4,0,-4
"172","Los Boches","Festuca hystrix",1,2,1
"173","Los Boches","Lotus alpinus",0,1,1
"174","Los Boches","Jurinea humilis",0,2,2
"175","Los Boches","Knautia nevadensis",4,6,2
"176","Los Boches","Seseli libanotis",0,4,4
"177","Los Boches","Eryngium bourgatii",0,6,6
"178","Los Boches","Oxytropis halleri",25,32,7
"179","Los Boches","Helictotrichon sedenense",85,93,8
"180","Los Boches","Arenaria serpyllifolia",0,9,9
"181","Los Boches","Arenaria purpurascens",6,31,25
"182","Los Boches","Rhamnus alpina",13,79,66
"183","Los Boches","Vicia pyrenaica",0,100,100
"184","Urriellu","Potentilla crantzii",112,0,-112
"185","Urriellu","Ranunculus parnassiifolius subsp. favargeri",97,0,-97
