"Group","Taxon","Hoyo Sin Tierra","Los Boches","Hou Sin Tierri","Los Cazadores"
"A = Focus spp","Androsace villosa","7 | 13.2","1 | 0.1","8 | 19.1","12 | 35.2"
"A = Focus spp","Anthyllis vulneraria","12 | 4.8","16 | 116.1","16 | 77.1","14 | 18.4"
"A = Focus spp","Arenaria erinacea","6 | 13.1","-","-","-"
"A = Focus spp","Arenaria moehringioides","-","12 | 3","1 | 0.1","-"
"A = Focus spp","Arenaria purpurascens","12 | 7.5","3 | 3","6 | 9.1","6 | 3.3"
"A = Focus spp","Armeria cantabrica","11 | 12.3","10 | 54.1","12 | 38.1","1 | 5"
"A = Focus spp","Carex ornithopoda","-","2 | 1.1","-","-"
"A = Focus spp","Carex sempervirens","10 | 74","-","14 | 136","16 | 225"
"A = Focus spp","Dethawia splendens subsp. cantabrica","6 | 2.4","-","4 | 1.3","10 | 10.4"
"A = Focus spp","Erigeron alpinus","2 | 1.1","2 | 0.2","2 | 0.2","5 | 1.4"
"A = Focus spp","Euphrasia salisburgensis","1 | 0.1","9 | 0.9","3 | 2.1","2 | 0.2"
"A = Focus spp","Festuca burnatii","-","-","-","1 | 0.1"
"A = Focus spp","Festuca gr. rubra","13 | 58.1","-","11 | 78.1","15 | 33.2"
"A = Focus spp","Festuca hystrix","7 | 10.1","-","5 | 16.2","5 | 8.1"
"A = Focus spp","Galium pyrenaicum","-","10 | 5.5","1 | 1","-"
"A = Focus spp","Genista legionensis","-","-","-","3 | 16"
"A = Focus spp","Gentiana verna","-","1 | 1","-","6 | 7.3"
"A = Focus spp","Gypsophila repens","-","-","4 | 11.2","7 | 14.2"
"A = Focus spp","Helianthemum apenninum subsp. urrielense","12 | 59","6 | 82","10 | 57","-"
"A = Focus spp","Helianthemum canum","8 | 48","3 | 2.1","10 | 68.1","15 | 65.1"
"A = Focus spp","Helictotrichon sedenense","8 | 8.4","15 | 62.1","5 | 13","-"
"A = Focus spp","Hippocrepis comosa","1 | 1","1 | 0.1","1 | 0.1","2 | 2"
"A = Focus spp","Iberis carnosa","-","12 | 4.8","4 | 1.3","1 | 1"
"A = Focus spp","Jacobaea boissieri","-","-","1 | 0.1","-"
"A = Focus spp","Jasione cavanillesii","-","5 | 3.2","-","-"
"A = Focus spp","Jurinea humilis","4 | 3.1","-","7 | 8.3","4 | 10.2"
"A = Focus spp","Kobresia myosuroides","-","-","2 | 1.1","-"
"A = Focus spp","Koeleria vallesiana","14 | 91.2","7 | 7.4","13 | 8.5","13 | 34"
"A = Focus spp","Linaria alpina","1 | 0.1","1 | 0.1","1 | 0.1","1 | 0.1"
"A = Focus spp","Minuartia verna","12 | 5.7","12 | 4.8","8 | 4.4","10 | 5.5"
"A = Focus spp","Phyteuma orbiculare","6 | 3.3","-","5 | 0.5","6 | 11.3"
"A = Focus spp","Plantago alpina","5 | 21.3","3 | 1.2","8 | 42.1","10 | 37.2"
"A = Focus spp","Poa alpina","2 | 0.2","-","1 | 0.1","-"
"A = Focus spp","Potentilla crantzii","6 | 6","-","5 | 4.1","-"
"A = Focus spp","Ranunculus carinthiacus","7 | 3.4","5 | 1.4","5 | 7.2","5 | 1.4"
"A = Focus spp","Ranunculus parnassiifolius subsp. favargeri","-","8 | 7.5","1 | 1","-"
"A = Focus spp","Salix breviserrata","-","3 | 2.1","-","-"
"A = Focus spp","Saxifraga conifera","12 | 17.8","2 | 0.2","13 | 33.1","9 | 13.4"
"A = Focus spp","Scilla verna","-","-","-","12 | 3"
"A = Focus spp","Sempervivum vicentei","4 | 6.2","-","-","-"
"A = Focus spp","Silene acaulis","-","10 | 82.1","8 | 34.2","-"
"A = Focus spp","Silene ciliata","9 | 23.3","11 | 11.4","1 | 1","1 | 0.1"
"A = Focus spp","Thymus praecox subsp. ligusticus","18 | 89","17 | 44.2","18 | 23.3","14 | 55.1"
"A = Focus spp","Veronica nummularia","-","3 | 1.2","1 | 0.1","1 | 0.1"
"B = 80-biomass spp in 1 plots","Carex pulicaris","-","-","1 | 1","-"
"B = 80-biomass spp in 1 plots","Epilobium anagallidifolium","1 | 0.1","-","-","-"
"B = 80-biomass spp in 1 plots","Gentiana nivalis","2 | 1.1","6 | 3.3","11 | 2","2 | 1.1"
"B = 80-biomass spp in 1 plots","Gnaphalium hoppeanum","2 | 0.2","1 | 0.1","4 | 1.3","2 | 5.1"
"B = 80-biomass spp in 1 plots","Paronychia kapela subsp. serpyllifolia","-","-","-","2 | 6"
"B = 80-biomass spp in 1 plots","Saxifraga oppositifolia","-","5 | 0.5","-","-"
"B = 80-biomass spp in 1 plots","Saxifraga paniculata","-","-","-","2 | 2"
"B = 80-biomass spp in 1 plots","Sedum album","6 | 2.4","2 | 0.2","1 | 0.1","-"
"B = 80-biomass spp in 2 plots","Arabis alpina","1 | 1","5 | 0.5","6 | 9.1","-"
"B = 80-biomass spp in 2 plots","Arenaria grandiflora","-","5 | 3.2","6 | 1.5","4 | 1.3"
"B = 80-biomass spp in 2 plots","Cystopteris fragilis","3 | 1.2","-","1 | 0.1","-"
"B = 80-biomass spp in 2 plots","Euphorbia pyrenaica","2 | 1.1","-","-","5 | 2.3"
"B = 80-biomass spp in 2 plots","Hornungia alpina","-","-","3 | 30.1","-"
"B = 80-biomass spp in 2 plots","Lotus corniculatus","-","-","3 | 0.3","8 | 6.2"
"B = 80-biomass spp in 2 plots","Luzula pediformis","2 | 5.1","-","2 | 6","4 | 1.3"
"B = 80-biomass spp in 2 plots","Pedicularis pyrenaica","-","-","5 | 7.2","2 | 0.2"
"B = 80-biomass spp in 2 plots","Sedum atratum","3 | 0.3","6 | 0.6","7 | 4.3","4 | 0.4"
