"Plot","Site","bio01","bio02","bio04","bio05","bio06","bio07","bio03","Snow","FreezeThaw","FDD","GDD"
"A01","Los Cazadores",5.51330296048038,4.62415514592934,691.280955365904,24.7857142857143,-0.870967741935484,25.6566820276498,18.0232001197426,114,0,-12.5,1441.4880952381
"A02","Los Cazadores",5.66280372852953,3.89616324535679,738.75021691177,23,-1.75806451612903,24.758064516129,15.7369460073043,45,5,-66.5,1531.25
"A03","Los Cazadores",4.30708234417912,2.48012847367686,676.028835099531,20.9838709677419,-1.69354838709677,22.6774193548387,10.9365551470815,84,0,-44.5833333333333,1055.5
"A04","Los Cazadores",4.5008658008658,2.86978773914258,636.174030954617,21.9285714285714,0,21.9285714285714,13.086979917914,72,0,0,1082.78571428571
"A05","Los Cazadores",4.91823534888051,3.52863426895685,673.039697014732,23.8571428571429,-0.0645161290322581,23.9216589861751,14.7507924554736,67,0,-2.5,1205.84523809524
"A06","Los Cazadores",4.95380882558302,3.31996229576875,673.475918601721,22.3571428571429,-0.838709677419355,23.1958525345622,14.3127409989434,116,0,-15.3333333333333,1265.45238095238
"A07","Los Cazadores",5.89138621235395,4.87648373132244,756.222680405517,26.4285714285714,-0.903225806451613,27.331797235023,17.8417968251049,104,16,-19.3333333333333,1529.95238095238
"A08","Los Cazadores",4.90104617604618,3.50918866080156,717.383062098923,23.2857142857143,-1.79032258064516,25.0760368663594,13.9941916639518,118,0,-39.5833333333333,1247.97619047619
"A09","Los Cazadores",4.77620211329889,2.92474514732579,664.578879770998,21.2142857142857,-1.58064516129032,22.794930875576,12.830682239355,120,0,-31.9166666666667,1236.28571428571
"A10","Los Cazadores",5.15079481450449,3.59929479123028,698.270731341637,23.9285714285714,-0.629032258064516,24.5576036866359,14.6565391198531,124,0,-9.08333333333333,1309.02380952381
"A11","Los Cazadores",6.15912000186194,5.50291858678955,716.276949049515,25.8571428571429,-0.596774193548387,26.4539170506912,20.8019045959992,27,14,-21.3333333333333,1612.16666666667
"A12","Los Cazadores",5.10975189684867,3.41392263650328,708.485719328897,23.7857142857143,-0.838709677419355,24.6244239631336,13.863969535346,128,0,-10.6666666666667,1294.63095238095
"A13","Los Cazadores",4.80473979425592,4.02225946096914,706.469549467481,25.7142857142857,-0.564516129032258,26.278801843318,15.3060991324911,112,0,-9.5,1174.61904761905
"A14","Los Cazadores",5.08683319368803,4.54103128054741,738.088673410697,27.8571428571429,-0.387096774193548,28.2442396313364,16.0777253692085,96,0,-5.41666666666667,1241.35714285714
"A15","Los Cazadores",4.53568286552157,3.55108225108225,718.726181253918,26.1428571428571,0,26.1428571428571,13.5833747309157,216,0,0,1090.71428571429
"A16","Los Cazadores",5.54398361495136,3.54264069264069,660.715385152089,21.9285714285714,-0.580645161290323,22.5092165898618,15.7386227925689,84,0,-7.25,1450.79761904762
"A17","Los Cazadores",5.13850951915468,4.08585393101522,653.635475103343,23.2142857142857,-1.01612903225806,24.2304147465438,16.8625010085642,95,0,-19.6666666666667,1335.7380952381
"A18","Los Cazadores",4.66554601312666,3.24866987850859,640.802828805309,21.5322580645161,-1.51612903225806,23.0483870967742,14.0949987730953,87,0,-36.75,1203.07142857143
"A19","Los Cazadores",4.0898652422846,3.2042242703533,653.393833941721,24.4285714285714,0,24.4285714285714,13.116707539458,205,0,0,980.321428571429
"A20","Los Cazadores",3.50576153237444,3.07676302192431,639.8592649817,26.9285714285714,0,26.9285714285714,11.4256451742547,189,0,0,732.464285714286
"B01","Hou Sin Tierri",4.43503148841024,3.44715581044836,626.376565834741,19.9516129032258,-3.16129032258065,23.1129032258065,14.9144215106628,86,0,-90.75,1220.86904761905
"B02","Hou Sin Tierri",3.34999610758788,1.76514621826079,524.763884513045,17.758064516129,0,17.758064516129,9.93996962145041,141,0,-1.75,778.880952380952
"B03","Hou Sin Tierri",3.68823941785566,2.34808084018318,575.874647555188,21,0.5,20.5,11.4540528789423,0,0,0,772.357142857143
"B04","Hou Sin Tierri",3.7171288605104,2.4072691398331,648.133958638692,22.9285714285714,0,22.9285714285714,10.4989931332285,74,0,0,777.404761904762
"B05","Hou Sin Tierri",3.66381920668628,2.19805567995223,620.760932853494,21.9285714285714,-0.145161290322581,22.073732718894,9.95778877974184,28,0,-6.33333333333333,745.642857142857
"B06","Hou Sin Tierri",5.15217487524217,4.90902024375328,687.503543547586,24,-3.03225806451613,27.0322580645161,18.1598600902568,88,1,-69.3333333333333,1395.92857142857
"B07","Hou Sin Tierri",4.88441973765945,4.40564901357449,672.807858773136,22.8870967741935,-2.75806451612903,25.6451612903226,17.1792603045043,104,0,-58.5,1293.39285714286
"B08","Hou Sin Tierri",4.38654942881862,3.84127578020793,629.966134298517,21.9032258064516,-2.54838709677419,24.4516129032258,15.7097030588979,9,0,-52.5,1084.95238095238
"B09","Hou Sin Tierri",4.09027304267849,4.11344170290221,648.801355532964,23.5322580645161,-3.04838709677419,26.5806451612903,15.4753267948991,130,0,-59.9166666666667,1038.27380952381
"B10","Hou Sin Tierri",4.27475891121609,2.75380388984393,634.921447213277,21.9516129032258,-1.45161290322581,23.4032258064516,11.7667705837577,8,0,-21.8333333333333,982.607142857143
"B11","Hou Sin Tierri",5.31868761105413,4.45060035441014,687.674600788672,22.7258064516129,-2.75806451612903,25.4838709677419,17.4643811375588,84,0,-64.5833333333333,1448.0119047619
"B12","Hou Sin Tierri",4.4102940255888,2.89813717983907,646.964251087391,20.5714285714286,-2.85483870967742,23.426267281106,12.371314409857,17,0,-54.6666666666667,1079.79761904762
