"Taxon","n","bio1","bio2","bio7","FDD","GDD","Snw"
"Alchemilla catalaunica",10,4.51572293074053,2.94401548002167,22.2507433557788,9.54730229120473,1100.51800232288,98.370288248337
"Androsace villosa",40,5.26744560612449,3.43190814545246,22.7522827340274,22.3766228464808,1354.66585623095,101.54888280113
"Anemone pavoniana",1,4.5008658008658,2.86978773914258,21.9285714285714,0,1082.78571428571,72
"Anthyllis vulneraria",73,4.11499961757866,2.89912155955872,22.5695529873948,52.549385899664,1024.05082923373,105.709099407915
"Arabis alpina",12,3.63660107766741,2.43458176073372,21.1732240674724,13.5707547169811,804.984725965858,64.7169811320755
"Arenaria erinacea",10,5.61922516263232,4.26587883847844,25.6529369733397,31.7585514468643,1436.3971963544,74.5417721518987
"Arenaria grandiflora",15,3.34623653339101,2.44222261748263,21.893202764977,16.5152777777778,733.34126984127,130.8
"Arenaria moehringioides",17,3.51251716303541,2.31716782349238,21.1159062589139,46.4333852850741,819.746694157826,103.102301790281
"Arenaria purpurascens",29,4.24257286710766,2.93770755616153,22.9402745591296,31.5438334081225,1026.69270506126,104.227272727273
"Armeria cantabrica",36,3.25818973272529,2.22610732450955,21.1059636428672,26.5338483449779,715.785468450434,117.927027027027
"Asplenium viride",1,4.30708234417912,2.48012847367686,22.6774193548387,44.5833333333333,1055.5,84
"Botrychium lunaria",2,3.23293026803872,2.06583324906462,19.0322580645161,0.875,706.39880952381,95
"Carduus carlinoides",1,3.32223261536387,2.42117311683496,21.4193548387097,39.5833333333333,764.488095238095,107
"Carex ornithopoda",4,3.44092975937653,2.27889027925397,19.8596091282041,19.1700713751251,763.717700394294,70
"Carex pulicaris",1,3.11586442848957,2.36652027986844,20.3064516129032,0,633.916666666667,49
"Carex sempervirens",46,4.83441445038472,3.40288041643193,23.3689146803586,22.9312661919911,1217.05044800074,97.5018032458425
"Cystopteris fragilis",4,5.24974760593504,3.39926606115427,21.50389932648,10.1923076923077,1340.73443223443,85.5384615384615
"Dethawia splendens subsp. cantabrica",22,4.62431779535891,3.41228267324991,24.1863206125744,29.910399815079,1164.47639725262,110.052427867699
"Draba dedeana",1,5.30604931003985,4.94554387029359,26.1290322580645,38.8333333333333,1399.80952380952,80
"Epilobium anagallidifolium",1,3.68891536331052,2.97244972769166,24.8571428571429,4.5,812.083333333333,188
"Erigeron alpinus",13,4.43854357778608,3.12869652673348,23.750746424662,13.5320951330721,1066.55920494898,160.851662404092
"Erinus alpinus",1,4.30708234417912,2.48012847367686,22.6774193548387,44.5833333333333,1055.5,84
"Eryngium bourgatii",4,4.31766694886655,3.02621229576875,24.2258064516129,4.375,998.797619047619,128.25
"Euphorbia pyrenaica",7,5.26955242996514,4.11319237372368,25.4636080238547,20.8823529411765,1331.12079831933,99.2352941176471
"Euphrasia salisburgensis",22,4.81734710955962,3.24202260912663,22.7625912149014,57.981544246108,1261.93393744281,106.040348101266
"Festuca burnatii",3,5.42660599327722,2.80427474933725,21.1679941417225,10.7819985407816,1381.61638053401,130.983333333333
"Festuca glacialis",21,3.0694955910793,2.14733770493504,20.6985466146756,24.7423076923077,649.418571428571,102.067692307692
"Festuca gr. rubra",42,4.32237588108715,3.10777485072258,23.4009638568821,29.1964611126512,1055.17909287523,105.848538011696
"Festuca hystrix",21,5.94195085300317,3.07666640641163,23.8361393416168,87.9920025984811,1634.60097801887,73.1178756476684
"Festuca picoeuropeana",8,4.93971527633123,3.49011349520383,23.3664833259006,13.2616487455197,1232.88917050691,92.4623655913978
"Galium pumilum",2,3.79955851719965,2.16122311827957,19.9758064516129,17.0833333333333,843.464285714286,46
"Galium pyrenaicum",13,3.91117494877745,3.95781678533003,27.6907376075214,152.994668981024,1055.06239739124,67.785930408472
"Genista legionensis",5,5.16800987821918,3.19856102128836,23.2927491408697,5.2761503681619,1296.66791047993,143.214285714286
"Gentiana nivalis",21,4.06214721958715,2.9920243624871,22.5533640552995,37.8877777777778,986.507142857143,85.8933333333333
"Gentiana verna",8,4.78835385214283,3.77117473859499,25.082587603921,12.0987398634124,1185.45588381547,114.141176470588
"Gentianella campestris",1,4.91823534888051,3.52863426895685,23.9216589861751,2.5,1205.84523809524,67
"Gnaphalium hoppeanum",9,3.5384021841984,2.89762259804512,25.4038792214045,1.49378109452736,746.309168443497,156.492537313433
"Gypsophila repens",16,5.08777873206813,3.6643063193804,23.787547092656,63.8472610222609,1360.19396087972,97.7140077821012
"Helianthemum apenninum subsp. cantabricum",1,4.28043714797747,2.92259635525765,24.5322580645161,54.0833333333333,1045.79761904762,139
"Helianthemum apenninum subsp. urrielense",33,3.79833704140715,2.57775943868496,21.7808715536149,26.1991029712345,888.104002291789,126.990079365079
"Helianthemum canum",52,5.11908990849956,3.38206572276224,23.3492023599197,44.3248659245114,1328.46683926791,93.0645970523675
"Helianthemum nummularium",7,4.2539450531386,3.64617475665863,26.8603292232324,5.28641141141141,984.933397683398,148.045045045045
"Helictotrichon sedenense",38,4.03994376877237,2.87994312059462,22.6248506840339,56.8560585864632,1004.91819824031,115.56940456235
"Herniaria glabra",2,3.38761982208868,2.85052102143315,23.3225806451613,50.1666666666667,786.613095238095,84
"Hippocrepis comosa",7,5.04986311672835,3.75715562337572,25.3578142891006,10.934375284355,1237.77344453527,119.56976744186
"Hornungia alpina",3,3.86108999673841,2.44948478258967,21.5491908691459,8.72674418604651,911.949295997469,184.687707641196
"Iberis carnosa",19,3.55072876302619,2.80214022785866,23.6326262548098,82.3133877292815,881.501553025453,117.188626907073
"Jacobaea boissieri",5,5.03699893026201,3.08973368119771,22.4846144761606,88.5582200845054,1368.89782068907,101.067307692308
"Jasione cavanillesii",10,3.34717939434321,2.105610164703,20.5835673668039,24.4648162609186,724.182668912563,94.210182767624
"Jurinea humilis",23,5.32834321616642,3.48198399423506,23.0080436560511,23.1279014758142,1376.07305009284,102.285310734463
"Kobresia myosuroides",4,4.95295932295946,3.10833384107616,22.4880946240654,89.0672067273858,1348.40659357755,99.0704225352113
"Koeleria vallesiana",59,4.80271012247102,3.20983160480042,23.5055852805407,36.1174158018092,1210.86467218536,113.659733777038
"Linaria alpina",5,3.86621982893387,2.66435114893153,22.1547001295535,18.2580836731897,885.823046034866,97.6913580246913
"Lotus corniculatus",11,4.94509115529138,3.52314264526723,23.9328606876994,13.3051282051282,1245.09725274725,103.123076923077
"Luzula pediformis",8,3.77635241265412,2.52575166723907,22.2382748624944,0.865591397849462,862.231470814132,202.798387096774
"Minuartia verna",55,4.55476797257722,3.24615855973875,23.6620357858857,48.2093063462695,1142.75727457987,90.9733047544817
"Oxytropis neglecta",1,3.50576153237444,3.07676302192431,26.9285714285714,0,732.464285714286,189
"Paronychia kapela subsp. serpyllifolia",2,5.49378209902403,4.57653027975609,27.2645929339478,16.1111111111111,1397.0376984127,118.166666666667
"Pedicularis pyrenaica",7,4.58551749874052,3.72428631230077,23.7635757877693,75.0945945945946,1232.6212998713,74.054054054054
"Phyteuma orbiculare",21,5.09404741276327,3.41055634565687,23.4628197866889,14.903494757326,1292.42755453317,97.4284332688588
"Pilosella officinarum",5,4.73567948760723,3.87027485531577,26.0725806451613,14.3928571428571,1151.26105442177,105.142857142857
"Plantago alpina",28,4.17574953116609,2.90523942764348,22.8386134384943,24.4653807339662,996.583811164907,88.1682974559687
"Poa alpina",5,3.78144151414532,2.25965293528547,20.7744961790992,13.6285776780113,854.857167720143,133.6
"Potentilla crantzii",12,4.584451728701,3.37358574058651,23.938789656717,39.4935612909482,1136.4416285836,83.0470588235294
"Ranunculus carinthiacus",24,4.01760448550665,2.74353162441755,22.9479095735495,33.547707292977,941.392795966247,66.5233160621762
"Ranunculus parnassiifolius subsp. favargeri",15,3.67458320564344,2.807776066229,23.254343766688,84.3378437525436,927.507860486708,122.573770491803
"Salix breviserrata",5,3.82890880294334,2.16315075015171,20.2136687716937,42.2804663234136,938.30214650071,175.093922651934
"Saxifraga conifera",40,4.36267928895064,3.22802682339173,24.2177648079422,42.1978723204712,1067.38326921352,83.8309807381267
"Saxifraga oppositifolia",5,3.88165256570151,3.8937531119233,26.4290322580645,134.4,1037.80714285714,77.6
"Saxifraga paniculata",2,4.22978517897873,3.19836265884653,25.0622119815668,7.66666666666667,998.958333333333,152.5
"Scilla verna",15,5.1942146444957,3.28058559522503,23.1724744907087,5.00219319760513,1298.93104991923,135.069230769231
"Sedum album",9,4.18805264635276,2.77721555607633,22.8477555896911,38.7407407407407,1014.20414462081,128.851851851852
"Sedum atratum",20,3.77309644780992,2.81743623781801,23.2676102699144,61.4375,911.582695578231,81.1964285714286
"Sedum brevifolium",1,3.84475455192772,2.00338754722416,19.4155031205591,25.5714441950283,930.0000621575,193
"Sempervivum vicentei",6,4.89943885211838,2.98113423486058,22.2299017031453,43.1270653211484,1255.88741205921,90.627397260274
"Seseli montanum",1,6.16148159341348,2.84370630912487,23.7588491326038,99.6765850100457,1711.18897267,71.8
"Sesleria caerulea",3,5.48679250836286,2.76033664125688,20.5828509139494,2.97073974793333,1388.78861651667,129.5
"Silene acaulis",24,3.37294347681687,2.47573207385113,21.8160765043147,48.6317077818276,784.53693370057,105.144360902256
"Silene ciliata",24,3.79060896441394,2.80686713871912,24.0700211728679,58.4648263186773,898.691554961634,133.740802213001
"Teucrium pyrenaicum",1,5.10975189684867,3.41392263650328,24.6244239631336,10.6666666666667,1294.63095238095,128
"Thesium pyrenaicum",2,5.02242470790858,3.20621421589163,22.2188940092166,3.625,1266.79166666667,78
"Thymus praecox subsp. ligusticus",83,4.66463453525102,3.1659202416232,23.9791611775801,45.075644674151,1167.93833946695,101.062836593586
"Veronica nummularia",7,3.61291860871784,2.37572070418304,20.8238442337666,17.0997891992996,837.107317098608,171.879668049793
"Viola riviniana",1,3.84475455192772,2.00338754722416,19.4155031205591,25.5714441950283,930.0000621575,193
"Viola rupestris",5,4.19035837077272,2.8969239992488,21.889400921659,19.1166666666667,1022.57142857143,95
