"Taxon","bio1","bio2","bio7","FDD","GDD","Snw","(Intercept) estimate","(Intercept) std.error","(Intercept) statistic","(Intercept) p.value","GDD estimate","GDD std.error","GDD statistic","GDD p.value","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","rho2"
"Agrostis schleicheri",4.0898652422846,3.2042242703533,24.4285714285714,0,980.321428571429,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla catalaunica",4.51572293074053,2.94401548002168,22.2507433557788,9.54730229120474,1100.51800232288,98.370288248337,-6.09772651242554,0.629226607887847,-9.69082749519136,3.2984526333383e-22,0.000889670740731667,0.000555608926189572,1.60125350547035,0.10932078239899,252.65287163982,77,-138.033603082033,280.067206164067,284.780623817446,250.091137398041,76,78,0.01
"Androsace villosa",5.07770381163347,3.90499417085581,24.045701197066,26.5781558185404,1308.18227317554,86.2529585798817,-9.61098118393912,0.705908717460815,-13.6150481587906,3.25930820912361e-42,0.00413584146621616,0.000532680823978033,7.76420190111202,8.21609290660097e-15,210.342255375724,77,-100.609761484166,205.219522968332,209.932940621711,138.313902425012,76,78,0.26
"Anemone pavoniana",4.5008658008658,2.86978773914258,21.9285714285714,0,1082.78571428571,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria",3.81963903824612,3.04116514486311,23.2963853420445,52.3577479975354,925.355024865769,90.2255083179298,-1.87717983966158,0.267474845857941,-7.01815467409812,2.2481759351518e-12,-0.00171144774180936,0.000278302278776378,-6.14960017335879,7.76785133679292e-10,521.769344407795,77,-308.284517855912,620.569035711823,625.282453365202,481.509519953121,76,78,0.06
"Arabis alpina",3.63660107766741,2.43458176073372,21.1732240674724,13.5707547169811,804.984725965858,64.7169811320755,-2.99514518187821,1.22323564823541,-2.44854308014886,0.0143435276060417,-0.00395432462399337,0.00147005544151096,-2.68991530001685,0.00714701563928704,55.9340294283214,77,-31.344447192647,66.688894385294,71.4023120386732,47.0160521720054,76,78,0.12
"Arenaria erinacea",5.50746238682246,4.55899836742917,26.0433214901326,17.7601781170484,1379.76072337332,75.1068702290076,-13.2645619988016,1.91474362480159,-6.92759167701948,4.28065140337945e-12,0.00561828054663761,0.0013739860640868,4.08903750444638,4.33166819828331e-05,78.9883071176643,77,-34.5296336936452,73.0592673872905,77.7726850406697,56.1269148134423,76,78,0.25
"Arenaria grandiflora",3.34623653339101,2.44222261748263,21.8932027649769,16.5152777777778,733.34126984127,130.8,-2.10359126157927,1.72101098395102,-1.22229973033056,0.221594301207112,-0.00585898457814531,0.0022785931766257,-2.57131665197985,0.0101312645396405,26.2207733735806,77,-13.9997352531316,31.9994705062631,36.7128881596423,17.0018745154027,76,78,0.26
"Arenaria moehringioides",3.42570674851838,2.39915557309795,21.5602051434518,51.8844086021505,790.938556067588,79.6129032258064,-3.96791350656864,2.27901750961784,-1.74106319491771,0.081672501897373,-0.00427845957157328,0.00279001859348023,-1.53348783465862,0.125155701812789,14.9511495839722,77,-8.70756731017093,21.4151346203419,26.128552273721,11.9879801556493,76,78,0.09
"Arenaria purpurascens",4.23887679144794,2.94256210168049,22.9659610005433,31.6946870451237,1025.53373882304,103.729257641921,-5.66317267963112,0.834032600585223,-6.79010949411017,1.12048471958717e-11,-0.000159649772590431,0.00078722695385977,-0.202800185902768,0.839291212626352,68.4393656558011,77,-54.688014881624,113.376029763248,118.089447416627,68.3981304668052,76,78,0
