"Taxon","n","AnnualTemperature","Snow","FDD"
"Salix breviserrata",3,3.70817928687188,38.6666666666667,-169.587301587302
"Galium pyrenaicum",11,3.892187083711,67.2153846153846,-154.074358974359
"Saxifraga oppositifolia",5,3.88165256570151,77.6,-134.4
"Ranunculus parnassiifolius subsp. favargeri",9,3.51661940041463,98.3764705882353,-105.427450980392
"Euphrasia salisburgensis",15,4.52720102742413,79,-91.7676767676768
"Kobresia myosuroides",2,4.51536386319605,85.8181818181818,-88.3712121212121
"Iberis carnosa",17,3.54617343390237,116.014084507042,-83.1924882629108
"Pedicularis pyrenaica",7,4.58551749874052,74.054054054054,-75.0945945945946
"Jacobaea boissieri",1,5.15217487524217,88,-69.3333333333333
"Helictotrichon sedenense",28,3.9319462894055,83.6011976047904,-64.6016966067864
"Sedum atratum",20,3.77309644780992,81.1964285714286,-61.4375
"Silene ciliata",22,3.76743004206338,134.346368715084,-58.0619180633147
"Helianthemum apenninum subsp. cantabricum",1,4.28043714797747,139,-54.0833333333333
"Anthyllis vulneraria",58,3.81963903824612,90.2255083179298,-52.3577479975354
"Arenaria moehringioides",13,3.42570674851838,79.6129032258064,-51.8844086021505
"Silene acaulis",18,3.2990629667778,93.0008598452279,-51.6147893379192
"Minuartia verna",42,4.47145520611616,77.578431372549,-50.7773692810458
"Herniaria glabra",2,3.38761982208868,84,-50.1666666666667
"Festuca hystrix",17,5.1761459445951,77.7151162790698,-47.2318313953488
"Asplenium viride",1,4.30708234417912,84,-44.5833333333333
"Erinus alpinus",1,4.30708234417912,84,-44.5833333333333
"Saxifraga conifera",36,4.3015066160803,81.3457364341085,-44.3325581395349
"Gypsophila repens",11,5.12580336175998,92.7362204724409,-41.2956036745407
"Carduus carlinoides",1,3.32223261536387,107,-39.5833333333333
"Potentilla crantzii",11,4.56883757162463,83.1584158415842,-38.8976897689769
"Draba dedeana",1,5.30604931003985,80,-38.8333333333333
"Sedum album",9,4.18805264635276,128.851851851852,-38.7407407407407
"Thymus praecox subsp. ligusticus",67,4.29713120729628,101.452268431002,-38.0966052299937
"Gentiana nivalis",21,4.06214721958715,85.8933333333333,-37.8877777777778
"Helianthemum oelandicum",36,4.9098938729317,81.9263502454992,-34.2997363156938
