"Site","Plot","bio1","bio2","bio7","Snw","FDD","GDD","Survey"
"Hou Sin Tierri","B01",4.43503148841024,3.44715581044836,23.1129032258065,86,90.75,1117.66666666667,"Spatial"
"Hou Sin Tierri","B02",3.34999610758788,1.76514621826079,17.758064516129,141,1.75,717.583333333333,"Spatial"
"Hou Sin Tierri","B03",3.68823941785566,2.34808084018318,20.5,0,0,718.666666666667,"Spatial"
"Hou Sin Tierri","B04",3.7171288605104,2.4072691398331,22.9285714285714,74,0,739.25,"Spatial"
"Hou Sin Tierri","B05",3.66381920668628,2.19805567995223,22.073732718894,28,6.33333333333333,708.75,"Spatial"
"Hou Sin Tierri","B06",5.15217487524217,4.90902024375328,27.0322580645161,88,69.3333333333333,1298.33333333333,"Spatial"
"Hou Sin Tierri","B07",4.88441973765945,4.40564901357449,25.6451612903226,104,58.5,1216,"Spatial"
"Hou Sin Tierri","B08",4.38654942881862,3.84127578020793,24.4516129032258,9,52.5,1028.33333333333,"Spatial"
"Hou Sin Tierri","B09",4.09027304267849,4.11344170290221,26.5806451612903,130,59.9166666666667,978.75,"Spatial"
"Hou Sin Tierri","B10",4.27475891121609,2.75380388984393,23.4032258064516,8,21.8333333333333,912.666666666667,"Spatial"
"Hou Sin Tierri","B11",5.31868761105413,4.45060035441014,25.4838709677419,84,64.5833333333333,1342,"Spatial"
"Hou Sin Tierri","B12",4.4102940255888,2.89813717983907,23.426267281106,17,54.6666666666667,1033,"Spatial"
"Hou Sin Tierri","B13",4.47884325537273,2.89981220114702,22.8548387096774,0,49.8333333333333,1008.25,"Spatial"
"Hou Sin Tierri","B14",3.75804248587897,2.17386393732334,20.9838709677419,220,0,865.75,"Spatial"
"Hou Sin Tierri","B15",5.30604931003985,4.94554387029359,26.1290322580645,80,38.8333333333333,1321.58333333333,"Spatial"
"Hou Sin Tierri","B16",3.65937521568779,3.33452176299785,26.3387096774194,119,100.333333333333,880.083333333333,"Spatial"
"Hou Sin Tierri","B17",3.11586442848957,2.36652027986844,20.3064516129032,49,0,575.75,"Spatial"
"Hou Sin Tierri","B18",2.57493218374753,1.59140579479845,18.0207373271889,168,10.9166666666667,463.166666666667,"Spatial"
"Hou Sin Tierri","B19",2.99172525348832,3.23665713226336,27.7327188940092,141,124.833333333333,685.666666666667,"Spatial"
"Hou Sin Tierri","B20",3.35896111520416,2.6705087182006,23.5645161290323,38,72.75,724.916666666667,"Spatial"
"Hoyo Sin Tierra","D01",6.01616539822185,4.0477307638598,23.9700460829493,11,45.9166666666667,1435.91666666667,"Spatial"
"Hoyo Sin Tierra","D02",5.69892036726714,3.54789833822092,20.7258064516129,79,3.66666666666667,1335.33333333333,"Spatial"
"Hoyo Sin Tierra","D03",4.60520993343574,2.92194875017456,21.6820276497696,105,36.5,1078.75,"Spatial"
"Hoyo Sin Tierra","D04",4.92861826793278,3.22582390727552,22.5460829493088,43,17.5,1119.5,"Spatial"
"Hoyo Sin Tierra","D05",4.90844010380301,3.23527091188381,21.1751152073733,104,13.1666666666667,1145.25,"Spatial"
"Hoyo Sin Tierra","D06",5.34385502490341,4.56817483591677,27.905529953917,34,36.4166666666667,1237.83333333333,"Spatial"
"Hoyo Sin Tierra","D07",4.73274187729833,3.79384687892752,27.7741935483871,147,51.8333333333333,1124.41666666667,"Spatial"
