"Taxon","(Intercept) estimate","(Intercept) std.error","(Intercept) statistic","(Intercept) p.value","FDD estimate","FDD std.error","FDD statistic","FDD p.value","GDD estimate","GDD std.error","GDD statistic","GDD p.value","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","rho2","Cold & Freezing","Cold & Snowy","Hot & Freezing","Hot & Snowy","Frequency 2009","Frequency 2018","Frequency change '09 to '18"
"Alchemilla catalaunica",-2.62559426645497,1.42642981437605,-1.84067539811165,0.0656691412683594,-0.0606788703077365,0.0287509730751038,-2.1104979699028,0.0348154858473533,0.00189072203598037,0.00141279715314334,1.3382827334934,0.180804288213902,59.7418271997449,77,-23.998161214008,53.9963224280161,61.0664489080848,47.9963224280161,75,78,0.2,0,39,0,93,"-","-","-"
"Androsace villosa",-9.99729557927016,2.34877421614043,-4.25638850706476,2.07755565680809e-05,-0.00548021386627254,0.00707236707696258,-0.774876898587985,0.438412404017559,0.00940857526903482,0.00213757815119334,4.40151171258104,1.07499263953147e-05,101.84082385095,77,-28.0567059674394,62.1134119348787,69.1835384149475,56.1134119348787,75,78,0.45,37,70,100,100,"1498.1","1466.2","-31.9"
"Anthyllis vulneraria",0.150130517459798,1.06371870670813,0.141137423374271,0.887761379962745,-0.00197842686947216,0.00456172624319261,-0.433701358652227,0.664505319877323,0.00105780829066509,0.00106604479351599,0.992273774140636,0.321063992994355,88.805896798032,77,-43.7846760377914,93.5693520755828,100.639478555652,87.5693520755828,75,78,0.01,71,80,93,96,"3060","3485","425"
"Arabis alpina",3.24172822415066,1.48336966306667,2.18538123359542,0.0288609056798688,-0.0066547310328684,0.00719496587926211,-0.924914884176056,0.355010183699127,-0.00537965053833673,0.00182466176742206,-2.94830013670823,0.0031952667692339,66.9743914211761,77,-26.2440997289732,58.4881994579464,65.5583259380152,52.4881994579464,75,78,0.22,1,5,0,0,"-","-","-"
"Arenaria grandiflora",2.76136599408787,1.28831982439241,2.14338547137561,0.0320821587341723,-0.0076859649149341,0.00658041528762844,-1.16800605721407,0.242804321605677,-0.00433496742003285,0.00148516249053698,-2.91885059557725,0.00351324561631326,76.3700954051769,77,-31.5903380390778,69.1806760781556,76.2508025582244,63.1806760781556,75,78,0.17,2,10,0,0,"-","-","-"
"Arenaria moehringioides",5.21750538149773,1.96289807264623,2.6580623080769,0.00785913615183327,0.0127105256984385,0.00602011593066092,2.1113423470307,0.0347428966567406,-0.00906540976468237,0.00271029788831613,-3.34480198791527,0.000823413341649033,70.2875485831435,77,-22.6123354041726,51.2246708083452,58.294797288414,45.2246708083452,75,78,0.36,11,1,0,0,"138.1","255","116.9"
"Arenaria purpurascens",-0.971766436618537,0.988762633162511,-0.98281064031555,0.325700644042528,-0.00900997455531344,0.00550581305837387,-1.63644759816355,0.101745944331027,0.000719607724275255,0.000950001042594138,0.757480983715812,0.448761754437951,100.625171661461,77,-48.3512478689633,102.702495737927,109.772622217995,96.7024957379267,75,78,0.04,9,46,23,74,"0","127.5","127.5"
"Armeria cantabrica",7.85808670047112,1.75154415491642,4.48637659428352,7.24446457103483e-06,-0.0132547180343821,0.00574235561538676,-2.30823705847576,0.0209859550484872,-0.00784385308486066,0.00171471989527092,-4.57442239195654,4.77535574095836e-06,106.84537350487,77,-32.847747832887,71.6954956657739,78.7656221458427,65.6954956657739,75,78,0.39,1,24,0,0,"138.1","21.2","-116.9"
"Carex sempervirens",-2.27455364644347,1.06049670648105,-2.14480029267692,0.031968817808574,-0.0168119390341572,0.00627245302635052,-2.6802813769239,0.00735602978281226,0.00314328208011588,0.00108595861742599,2.8944768517665,0.00379790911372429,108.079672495256,77,-43.9205033354173,93.8410066708346,100.911133150903,87.8410066708346,75,78,0.19,6,79,91,100,"956.2","828.8","-127.4"
"Dethawia splendens subsp. cantabrica",-2.41885625625839,1.13866689729706,-2.12428785099506,0.033646080993825,-0.014044368021303,0.00797338082195096,-1.76140690315938,0.0781695574844033,0.00186074616324435,0.00106940191664035,1.73998768310618,0.0818611807305496,88.805896798032,77,-40.4372857524848,86.8745715049697,93.9446979850385,80.8745715049697,75,78,0.09,2,43,34,94,"21.2","10.6","-10.6"
