Site;Plot;bio1;bio2;bio7;Snw;FDD;GDD;Survey
Hou Sin Tierri;B01;4.435031488;3.44715581;23.11290323;86;90.75;1117.666667;Spatial
Hou Sin Tierri;B02;3.349996108;1.765146218;17.75806452;141;1.75;717.5833333;Spatial
Hou Sin Tierri;B03;3.688239418;2.34808084;20.5;0;0;718.6666667;Spatial
Hou Sin Tierri;B04;3.717128861;2.40726914;22.92857143;74;0;739.25;Spatial
Hou Sin Tierri;B05;3.663819207;2.19805568;22.07373272;28;6.333333333;708.75;Spatial
Hou Sin Tierri;B06;5.152174875;4.909020244;27.03225806;88;69.33333333;1298.333333;Spatial
Hou Sin Tierri;B07;4.884419738;4.405649014;25.64516129;104;58.5;1216;Spatial
Hou Sin Tierri;B08;4.386549429;3.84127578;24.4516129;9;52.5;1028.333333;Spatial
Hou Sin Tierri;B09;4.090273043;4.113441703;26.58064516;130;59.91666667;978.75;Spatial
Hou Sin Tierri;B10;4.274758911;2.75380389;23.40322581;8;21.83333333;912.6666667;Spatial
Hou Sin Tierri;B11;5.318687611;4.450600354;25.48387097;84;64.58333333;1342;Spatial
Hou Sin Tierri;B12;4.410294026;2.89813718;23.42626728;17;54.66666667;1033;Spatial
Hou Sin Tierri;B13;4.478843255;2.899812201;22.85483871;0;49.83333333;1008.25;Spatial
Hou Sin Tierri;B14;3.758042486;2.173863937;20.98387097;220;0;865.75;Spatial
Hou Sin Tierri;B15;5.30604931;4.94554387;26.12903226;80;38.83333333;1321.583333;Spatial
Hou Sin Tierri;B16;3.659375216;3.334521763;26.33870968;119;100.3333333;880.0833333;Spatial
Hou Sin Tierri;B17;3.115864428;2.36652028;20.30645161;49;0;575.75;Spatial
Hou Sin Tierri;B18;2.574932184;1.591405795;18.02073733;168;10.91666667;463.1666667;Spatial
Hou Sin Tierri;B19;2.991725253;3.236657132;27.73271889;141;124.8333333;685.6666667;Spatial
Hou Sin Tierri;B20;3.358961115;2.670508718;23.56451613;38;72.75;724.9166667;Spatial
Hoyo Sin Tierra;D01;6.016165398;4.047730764;23.97004608;11;45.91666667;1435.916667;Spatial
Hoyo Sin Tierra;D02;5.698920367;3.547898338;20.72580645;79;3.666666667;1335.333333;Spatial
Hoyo Sin Tierra;D03;4.605209933;2.92194875;21.68202765;105;36.5;1078.75;Spatial
Hoyo Sin Tierra;D04;4.928618268;3.225823907;22.54608295;43;17.5;1119.5;Spatial
Hoyo Sin Tierra;D05;4.908440104;3.235270912;21.17511521;104;13.16666667;1145.25;Spatial
Hoyo Sin Tierra;D06;5.343855025;4.568174836;27.90552995;34;36.41666667;1237.833333;Spatial
Hoyo Sin Tierra;D07;4.732741877;3.793846879;27.77419355;147;51.83333333;1124.416667;Spatial
Hoyo Sin Tierra;D08;4.367021598;2.908582949;23.53225806;130;43.58333333;1011.583333;Spatial
Hoyo Sin Tierra;D09;4.209638726;3.068516967;23.87096774;96;18.58333333;915;Spatial
Hoyo Sin Tierra;D10;3.659707385;2.146096914;19.33870968;44;17.16666667;761.5;Spatial
Hoyo Sin Tierra;D11;5.880174731;5.277679444;26.66359447;101;2.583333333;1381.833333;Spatial
Hoyo Sin Tierra;D12;4.30060513;2.251180003;21.28571429;65;0;886.4166667;Spatial
Hoyo Sin Tierra;D13;3.5900494;2.767059419;23.92857143;234;0;728;Spatial
Hoyo Sin Tierra;D14;3.923112752;2.816232021;25.57142857;226;0;828.0833333;Spatial
Hoyo Sin Tierra;D15;3.735217672;2.63335428;24.19354839;71;85.66666667;840.5833333;Spatial
Hoyo Sin Tierra;D16;4.992204301;3.418178327;23.96774194;112;15.41666667;1169.666667;Spatial
Hoyo Sin Tierra;D17;4.280437148;2.922596355;24.53225806;139;54.08333333;1001.5;Spatial
Hoyo Sin Tierra;D18;3.473201194;2.802426337;23.35714286;225;0;715.5;Spatial
Hoyo Sin Tierra;D19;3.688915363;2.972449728;24.85714286;188;4.5;781.4166667;Spatial
Hoyo Sin Tierra;D20;3.939409649;2.176349323;20.61290323;48;17;826.0833333;Spatial
Los Boches;C01;3.518167472;3.654666681;28.22580645;76;193.8333333;911.4166667;Spatial
Los Boches;C02;4.134914756;4.790252758;30.25806452;102;148.8333333;1046.916667;Spatial
Los Boches;C03;4.164121972;4.574971589;27.37096774;43;159.5;1087.416667;Spatial
Los Boches;C04;3.656683753;3.089720661;23.88709677;69;172.5;935.1666667;Spatial
Los Boches;C05;3.059248231;2.368591123;22.61290323;138;81.33333333;673.0833333;Spatial
Los Boches;C06;3.480637376;2.355451945;20.61290323;115;44.58333333;777.25;Spatial
Los Boches;C07;3.681843583;3.205207084;23.56451613;134;27;801.9166667;Spatial
Los Boches;C08;3.57680961;2.78304682;21.90322581;155;10.33333333;763;Spatial
Los Boches;C09;3.322232615;2.421173117;21.41935484;107;39.58333333;701.1666667;Spatial
Los Boches;C10;2.920601895;1.987047056;22.34331797;85;168.1666667;714.5833333;Spatial
Los Boches;C11;3.643055475;3.412840024;26.33870968;87;157.25;913.6666667;Spatial
Los Boches;C12;3.875732737;4.230773731;28.72580645;19;180.8333333;977.75;Spatial
Los Boches;C13;3.717001274;3.530081885;28.30645161;2;168.75;894.75;Spatial
