Taxon;GDD estimate;GDD p;FDD estimate;FDD p;rho2;Cold & Freezing;Cold & Snowy;Hot & Freezing;Hot & Snowy
Alchemilla catalaunica;0;0.174;-0.06;0.035;0.2;100;83;100;26
Androsace villosa;0.01;<0.001;-0.01;0.376;0.49;100;100;0;0
Arabis alpina;-0.01;0.004;-0.01;0.396;0.22;75;40;100;100
Arenaria grandiflora;0;0.004;-0.01;0.272;0.18;78;38;100;100
Arenaria moehringioides;-0.01;0.001;0.01;0.03;0.34;3;40;100;100
Armeria cantabrica;-0.01;<0.001;-0.01;0.029;0.39;35;2;100;100
Carex sempervirens;0;0.007;-0.02;0.007;0.18;99;62;64;3
Erigeron alpinus;0;0.972;-0.06;0.035;0.19;100;66;100;67
Euphrasia salisburgensis;0;0.11;0.03;<0.001;0.32;9;99;0;67
Festuca glacialis;-0.02;0.001;0.01;0.278;0.67;0;0;100;100
Festuca hystrix;0.01;<0.001;0;0.644;0.3;100;99;2;1
Galium pyrenaicum;0;0.9;0.03;<0.001;0.37;5;98;4;97
Helianthemum canum;0.01;<0.001;-0.01;0.333;0.4;99;97;0;0
Iberis carnosa;0;0.023;0.02;<0.001;0.27;2;74;79;100
Lotus corniculatus;0;0.045;-0.04;0.05;0.18;100;90;100;15
Scilla verna;0;0.006;-0.05;0.035;0.25;100;94;100;4
