"","Taxon","Species","Dim.1","Dim.2"
"1","Agrostis schleicheri","Agrsch",-0.228532991680722,-0.330385428467836
"2","Alchemilla catalaunica","Alccat",-0.247720519565692,0.446395202675331
"3","Androsace villosa","Andvil",-0.563962334063875,-0.130232825333928
"4","Anemone pavoniana","Anepav",-0.309759119010923,-0.00961108713666754
"5","Anthyllis vulneraria","Antvul",0.0940687057068603,-0.191409071304761
"6","Arabis alpina","Araalp",0.244738488570093,0.31014045219388
"7","Arenaria erinacea","Areeri",-0.405716948301935,-0.372075816445094
"8","Arenaria grandiflora","Aregra",0.571845265008047,0.0314133135399151
"9","Arenaria moehringioides","Aremoe",0.377029642875757,-0.190740564695764
"10","Arenaria purpurascens","Arepur",-0.302006808363373,-0.0503989267731941
"11","Armeria cantabrica","Armcan",0.558917498900767,0.122039261522794
"12","Botrychium lunaria","Botlun",0.235954750523311,0.339513302813626
"13","Carduus carlinoides","Carcar",0.664696823293122,-0.174153512724092
"14","Carex ornithopoda","Carorn",0.377089679692521,0.135555815672073
"15","Carex pulicaris","Carpul",0.59113281683461,0.25063167330231
"16","Carex sempervirens","Carsem",-0.385662650240835,0.227784766051265
"17","Cystopteris fragilis","Cysfra",-0.148566941308986,-0.35815877991527
"18","Dethawia splendens subsp. cantabrica","Detspl",-0.403749724314966,0.0735343828094376
"19","Draba dedeana","Draded",-0.434388866255365,0.496005340600183
"20","Erigeron alpinus","Erialp",0.107907006859263,0.219897283527495
"21","Eryngium bourgatii","Erybou",-0.18300991812473,0.221088319129594
"22","Euphorbia pyrenaica","Euppyr",-0.413861961605831,-0.0915812027889267
"23","Euphrasia salisburgensis","Eupsal",-0.224155396426147,-0.341189849358934
"24","Festuca glacialis","Fesgla",0.705321024763898,0.105039673380268
"25","Festuca gr. rubra","Fesrub",-0.0706742080504181,0.390412434611567
"26","Festuca hystrix","Feshys",-0.40211383432765,-0.24693572341095
"27","Festuca picoeuropeana","Fespic",-0.241927882730406,-0.372352147863138
"28","Galium pumilum","Galpum",0.0595032517743954,0.629247739554495
"29","Galium pyrenaicum","Galpyr",0.0792151513228487,-0.629423797409679
"30","Genista legionensis","Genleg",-0.601546355143313,-0.0784720825148379
"31","Gentiana nivalis","Genniv",0.145442680180561,0.0893936599380859
"32","Gentiana verna","Genver",-0.370151946493063,0.0883539636424275
"33","Gentianella campestris","Gencam",-0.300180718968453,0.0271314327768368
"34","Gnaphalium hoppeanum","Gnahop",0.365342933264722,0.375210194558279
"35","Gypsophila repens","Gyprep",-0.418303816820396,-0.185735701904547
"36","Helianthemum apenninum subsp. cantabricum","Helcan",-0.244700523825727,0.536844696842702
"37","Helianthemum apenninum subsp. urrielense","Helurr",0.247303691750716,0.203101636589916
"38","Helianthemum canum","Helcan",-0.361151120629112,-0.145464224906182
"39","Helictotrichon sedenense","Helsed",0.114755292464832,-0.364181572881338
"40","Herniaria glabra","Hergla",0.244288441812318,0.279168421973623
"41","Hippocrepis comosa","Hipcom",-0.2884739883142,0.329761173152835
"42","Hornungia alpina","Horalp",-0.133240532116941,0.473151782038527
"43","Iberis carnosa","Ibecar",0.459940082848315,-0.369208640391645
"44","Jacobaea boissieri","Jacboi",-0.192283657186961,-0.735534036034352
"45","Jasione cavanillesii","Jascav",0.58069907995084,-0.118742913059271
